step,elapsed_s,step_time_s,train_success,eval_success,reward,generate_rollouts_s,actor_training_s,local_cache_size,local_transition_count,global_min_replay_size,update_step,ready_for_online,actor_loss,critic_loss,actor_grad_norm,critic_grad_norm,updates_scheduled,global_total_transitions_added
177,19780,111.752,0.625,,0.01875,82.067,26.455,13300.0,67.5,13100.0,60500.0,1.0,0.0058,0.000975,2.855,0.192,675.0,2.6
178,19885,111.719,0.375,,0.01125,86.957,18.047,13400.0,72.5,13200.0,61200.0,1.0,0.0022,0.001,2.87,0.212,725.0,2.6
179,19978,111.614,0.875,,0.026875,74.606,17.723,13400.0,62.0,13300.0,61900.0,1.0,-0.0036,0.0012,2.874,0.191,620.0,2.6
180,20096,111.646,0.625,,0.011875001,85.912,30.907,13500.0,73.0,13300.0,62500.0,1.0,-0.01,0.0014,2.894,0.19,730.0,2.7
181,20224,111.739,0.625,,0.010625,95.806,31.845,13600.0,74.0,13400.0,63300.0,1.0,-0.015,0.0014,2.94,0.193,740.0,2.7
182,20347,111.801,0.625,,0.015,94.074,27.989,13600.0,70.5,13500.0,64000.0,1.0,-0.02,0.0015,2.964,0.176,705.0,2.7
183,20465,111.835,0.375,,0.015625,89.785,27.554,13700.0,69.0,13600.0,64700.0,1.0,-0.023,0.0017,3.005,0.18,690.0,2.7
184,20586,111.882,0.75,,0.02125,92.503,27.366,13800.0,66.0,13600.0,65400.0,1.0,-0.027,0.0016,3.016,0.172,660.0,2.7
185,20707,111.93,0.75,,0.01875,99.246,20.603,13800.0,68.0,13700.0,66000.0,1.0,-0.031,0.0016,3.049,0.188,680.0,2.7
186,20820,111.937,0.75,,0.026250001,86.791,25.821,13900.0,62.0,13800.0,66700.0,1.0,-0.036,0.0016,3.062,0.16,620.0,2.7
187,20942,111.991,0.625,,0.018125,93.62,27.664,14000.0,68.0,13800.0,67400.0,1.0,-0.039,0.0016,3.097,0.17,680.0,2.7
188,21069,112.072,0.5,,0.01125,97.083,29.013,14000.0,73.0,13900.0,68000.0,1.0,-0.043,0.0015,3.141,0.172,730.0,2.8
189,21192,112.132,0.875,,0.018125,93.778,28.836,14100.0,69.0,14000.0,68800.0,1.0,-0.049,0.0015,3.158,0.173,690.0,2.8
190,21312,112.169,0.625,,0.019374998,91.349,27.022,14200.0,67.0,14000.0,69400.0,1.0,-0.053,0.0014,3.193,0.162,670.0,2.8
191,21423,112.165,0.875,,0.033125,88.387,22.129,14200.0,57.0,14100.0,70100.0,1.0,-0.054,0.0014,3.201,0.167,570.0,2.8
192,21538,112.181,0.875,,0.0275,89.185,25.197,14300.0,61.5,14100.0,70700.0,1.0,-0.053,0.0015,3.192,0.179,615.0,2.8
