step,control_raw,control_ma5,control_ma10,method_raw,method_ma5,method_ma10
256,100.0,77.5,75.0,75.0,75.0,76.25
257,75.0,75.0,73.75,87.5,77.5,77.5
258,75.0,72.5,76.25,100.0,87.5,82.5
259,62.5,77.5,75.0,62.5,80.0,80.0
260,37.5,70.0,72.5,50.0,75.0,77.5
261,87.5,67.5,72.5,75.0,75.0,75.0
262,75.0,67.5,71.25,87.5,75.0,76.25
263,62.5,65.0,68.75,100.0,75.0,81.25
264,75.0,67.5,72.5,75.0,77.5,78.75
265,75.0,75.0,72.5,75.0,82.5,78.75
266,87.5,75.0,71.25,87.5,85.0,80.0
267,50.0,70.0,68.75,75.0,82.5,78.75
268,87.5,75.0,70.0,100.0,82.5,78.75
269,75.0,75.0,71.25,62.5,80.0,78.75
270,75.0,75.0,75.0,62.5,77.5,80.0
271,100.0,77.5,76.25,75.0,75.0,80.0
272,62.5,80.0,75.0,62.5,72.5,77.5
273,75.0,77.5,76.25,100.0,72.5,77.5
274,50.0,72.5,73.75,50.0,70.0,75.0
275,62.5,70.0,72.5,87.5,75.0,76.25
276,75.0,65.0,71.25,62.5,72.5,73.75
277,87.5,70.0,75.0,62.5,72.5,72.5
278,75.0,70.0,73.75,87.5,70.0,71.25
279,87.5,77.5,75.0,62.5,72.5,71.25
280,62.5,77.5,73.75,87.5,72.5,73.75
281,100.0,82.5,73.75,75.0,75.0,73.75
282,62.5,77.5,73.75,87.5,80.0,76.25
283,62.5,75.0,72.5,50.0,72.5,71.25
284,100.0,77.5,77.5,62.5,72.5,72.5
285,100.0,85.0,81.25,75.0,70.0,71.25
286,75.0,80.0,81.25,87.5,72.5,73.75
287,50.0,77.5,77.5,62.5,67.5,73.75
288,75.0,80.0,77.5,100.0,77.5,75.0
289,87.5,77.5,77.5,75.0,80.0,76.25
290,100.0,77.5,81.25,100.0,85.0,77.5
291,50.0,72.5,76.25,37.5,75.0,73.75
292,75.0,77.5,77.5,50.0,72.5,70.0
293,100.0,82.5,81.25,100.0,72.5,75.0
294,75.0,80.0,78.75,75.0,72.5,76.25
295,87.5,77.5,77.5,87.5,70.0,77.5
296,62.5,80.0,76.25,87.5,80.0,77.5
297,62.5,77.5,77.5,75.0,85.0,78.75
298,50.0,67.5,75.0,87.5,82.5,77.5
299,62.5,65.0,72.5,87.5,85.0,78.75
300,75.0,62.5,70.0,75.0,82.5,76.25
301,75.0,65.0,72.5,75.0,80.0,80.0
302,87.5,70.0,73.75,100.0,85.0,85.0
303,75.0,75.0,71.25,75.0,82.5,82.5
304,62.5,75.0,70.0,100.0,85.0,85.0
305,75.0,75.0,68.75,87.5,87.5,85.0
306,87.5,77.5,71.25,87.5,90.0,85.0
307,75.0,75.0,72.5,87.5,87.5,86.25
308,75.0,75.0,75.0,87.5,90.0,86.25
309,62.5,75.0,75.0,87.5,87.5,86.25
310,87.5,77.5,76.25,87.5,87.5,87.5
311,75.0,75.0,76.25,100.0,90.0,90.0
312,87.5,77.5,76.25,87.5,90.0,88.75
313,75.0,77.5,76.25,100.0,92.5,91.25
314,87.5,82.5,78.75,50.0,85.0,86.25
315,62.5,77.5,77.5,87.5,85.0,86.25
316,62.5,75.0,75.0,75.0,80.0,85.0
317,75.0,72.5,75.0,75.0,77.5,83.75
318,75.0,72.5,75.0,62.5,70.0,81.25
319,100.0,75.0,78.75,62.5,72.5,78.75
320,87.5,80.0,78.75,75.0,70.0,77.5
321,75.0,82.5,78.75,87.5,72.5,76.25
322,100.0,87.5,80.0,75.0,72.5,75.0
323,87.5,90.0,81.25,62.5,72.5,71.25
324,100.0,90.0,82.5,100.0,80.0,76.25
325,75.0,87.5,83.75,62.5,77.5,73.75
326,87.5,90.0,86.25,62.5,72.5,72.5
327,87.5,87.5,87.5,87.5,75.0,73.75
328,87.5,87.5,88.75,100.0,82.5,77.5
329,75.0,82.5,86.25,75.0,77.5,78.75
330,75.0,82.5,85.0,50.0,75.0,76.25
331,75.0,80.0,85.0,87.5,80.0,76.25
332,100.0,82.5,85.0,75.0,77.5,76.25
333,87.5,82.5,85.0,75.0,72.5,77.5
334,87.5,85.0,83.75,87.5,75.0,76.25
335,87.5,87.5,85.0,87.5,82.5,78.75
336,100.0,92.5,86.25,75.0,80.0,80.0
337,75.0,87.5,85.0,50.0,75.0,76.25
338,62.5,82.5,82.5,100.0,80.0,76.25
339,75.0,80.0,82.5,62.5,75.0,75.0
340,50.0,72.5,80.0,87.5,75.0,78.75
341,62.5,65.0,78.75,87.5,77.5,78.75
342,87.5,67.5,77.5,100.0,87.5,81.25
343,87.5,72.5,77.5,75.0,82.5,81.25
344,87.5,75.0,77.5,87.5,87.5,81.25
345,87.5,82.5,77.5,87.5,87.5,81.25
346,75.0,85.0,75.0,75.0,85.0,81.25
347,75.0,82.5,75.0,75.0,80.0,83.75
348,62.5,77.5,75.0,75.0,80.0,81.25
349,87.5,77.5,76.25,100.0,82.5,85.0
350,75.0,75.0,78.75,75.0,80.0,83.75
351,87.5,77.5,81.25,62.5,77.5,81.25
352,87.5,80.0,81.25,75.0,77.5,78.75
353,100.0,87.5,82.5,100.0,82.5,81.25
354,62.5,82.5,80.0,100.0,82.5,82.5
355,87.5,85.0,80.0,87.5,85.0,82.5
356,75.0,82.5,80.0,75.0,87.5,82.5
357,75.0,80.0,80.0,62.5,85.0,81.25
358,75.0,75.0,81.25,100.0,85.0,83.75
359,87.5,80.0,81.25,62.5,77.5,80.0
360,75.0,77.5,81.25,62.5,72.5,78.75
361,62.5,75.0,78.75,62.5,70.0,78.75
362,75.0,75.0,77.5,75.0,72.5,78.75
363,87.5,77.5,76.25,75.0,67.5,76.25
364,100.0,80.0,80.0,75.0,70.0,73.75
365,87.5,82.5,80.0,87.5,75.0,73.75
366,62.5,82.5,78.75,75.0,77.5,73.75
367,87.5,85.0,80.0,87.5,80.0,76.25
368,62.5,80.0,78.75,62.5,77.5,72.5
369,87.5,77.5,78.75,87.5,80.0,75.0
370,87.5,77.5,80.0,100.0,82.5,78.75
371,100.0,85.0,83.75,75.0,82.5,80.0
372,100.0,87.5,86.25,87.5,82.5,81.25
373,100.0,95.0,87.5,100.0,90.0,83.75
374,87.5,95.0,86.25,100.0,92.5,86.25
375,87.5,95.0,86.25,75.0,87.5,85.0
376,87.5,92.5,88.75,100.0,92.5,87.5
377,100.0,92.5,90.0,87.5,92.5,87.5
378,75.0,87.5,91.25,75.0,87.5,88.75
379,75.0,85.0,90.0,75.0,82.5,87.5
380,87.5,85.0,90.0,87.5,85.0,86.25
381,62.5,80.0,86.25,100.0,85.0,88.75
382,75.0,75.0,83.75,100.0,87.5,90.0
383,100.0,80.0,83.75,87.5,90.0,88.75
384,75.0,80.0,82.5,87.5,92.5,87.5
385,87.5,80.0,82.5,75.0,90.0,87.5
386,100.0,87.5,83.75,100.0,90.0,87.5
387,100.0,92.5,83.75,87.5,87.5,87.5
388,100.0,92.5,86.25,100.0,90.0,90.0
389,75.0,92.5,86.25,75.0,87.5,90.0
390,75.0,90.0,85.0,87.5,90.0,90.0
391,87.5,87.5,87.5,87.5,87.5,88.75
392,87.5,85.0,88.75,75.0,85.0,86.25
393,87.5,82.5,87.5,87.5,82.5,86.25
394,100.0,87.5,90.0,75.0,82.5,85.0
395,100.0,92.5,91.25,100.0,85.0,87.5
396,100.0,95.0,91.25,75.0,82.5,85.0
397,100.0,97.5,91.25,100.0,87.5,86.25
398,75.0,95.0,88.75,87.5,87.5,85.0
399,75.0,90.0,88.75,100.0,92.5,87.5
400,62.5,82.5,87.5,87.5,90.0,87.5
401,100.0,82.5,88.75,100.0,95.0,88.75
402,100.0,82.5,90.0,100.0,95.0,91.25
403,75.0,82.5,88.75,87.5,95.0,91.25
404,87.5,85.0,87.5,87.5,92.5,92.5
405,87.5,90.0,86.25,62.5,87.5,88.75
406,87.5,87.5,85.0,75.0,82.5,88.75
407,100.0,87.5,85.0,87.5,80.0,87.5
408,87.5,90.0,86.25,75.0,77.5,86.25
409,75.0,87.5,86.25,75.0,75.0,83.75
410,100.0,90.0,90.0,87.5,80.0,83.75
411,75.0,87.5,87.5,75.0,80.0,81.25
412,87.5,85.0,86.25,87.5,80.0,80.0
413,100.0,87.5,88.75,87.5,82.5,80.0
414,87.5,90.0,88.75,87.5,85.0,80.0
415,100.0,90.0,90.0,75.0,82.5,81.25
416,62.5,87.5,87.5,75.0,82.5,81.25
417,100.0,90.0,87.5,100.0,85.0,82.5
418,100.0,90.0,88.75,100.0,87.5,85.0
419,100.0,92.5,91.25,87.5,87.5,86.25
420,87.5,90.0,90.0,87.5,90.0,86.25
421,100.0,97.5,92.5,75.0,90.0,86.25
422,100.0,97.5,93.75,100.0,90.0,87.5
423,100.0,97.5,93.75,87.5,87.5,87.5
424,87.5,95.0,93.75,100.0,90.0,88.75
425,87.5,95.0,92.5,100.0,92.5,91.25
426,100.0,95.0,96.25,62.5,90.0,90.0
427,100.0,95.0,96.25,87.5,87.5,88.75
428,87.5,92.5,95.0,87.5,87.5,87.5
429,100.0,95.0,95.0,100.0,87.5,88.75
430,87.5,95.0,95.0,87.5,85.0,88.75
431,100.0,95.0,95.0,87.5,90.0,90.0
432,100.0,95.0,95.0,100.0,92.5,90.0
433,87.5,95.0,93.75,75.0,90.0,88.75
434,,,,75.0,85.0,86.25
435,,,,100.0,87.5,86.25
436,,,,87.5,87.5,88.75
437,,,,75.0,82.5,87.5
