step,s0p5_raw_pct,s0p5_ma5_pct,s0p5_ma10_pct,s2p0_raw_pct,s2p0_ma5_pct,s2p0_ma10_pct
217,62.5,80.0,73.75,75.0,75.0,68.75
218,87.5,80.0,76.25,87.5,80.0,70.0
219,100.0,85.0,78.75,87.5,82.5,73.75
220,87.5,85.0,78.75,75.0,80.0,73.75
221,100.0,87.5,82.5,87.5,82.5,78.75
222,100.0,95.0,87.5,75.0,82.5,78.75
223,75.0,92.5,86.25,75.0,80.0,80.0
224,100.0,92.5,88.75,75.0,77.5,80.0
225,100.0,95.0,90.0,62.5,75.0,77.5
226,87.5,92.5,90.0,87.5,75.0,78.75
227,100.0,92.5,93.75,75.0,75.0,78.75
228,87.5,95.0,93.75,62.5,72.5,76.25
229,87.5,92.5,92.5,87.5,75.0,76.25
230,100.0,92.5,93.75,75.0,77.5,76.25
231,75.0,90.0,91.25,62.5,72.5,73.75
232,87.5,87.5,90.0,75.0,72.5,73.75
233,87.5,87.5,91.25,75.0,75.0,73.75
234,100.0,90.0,91.25,75.0,72.5,73.75
235,100.0,90.0,91.25,62.5,70.0,73.75
236,100.0,95.0,92.5,75.0,72.5,72.5
237,100.0,97.5,92.5,87.5,75.0,73.75
238,100.0,100.0,93.75,100.0,80.0,77.5
239,87.5,97.5,93.75,62.5,77.5,75.0
240,75.0,92.5,91.25,100.0,85.0,77.5
241,75.0,87.5,91.25,62.5,82.5,77.5
242,87.5,85.0,91.25,75.0,80.0,77.5
243,87.5,82.5,91.25,75.0,75.0,77.5
244,87.5,82.5,90.0,100.0,82.5,80.0
245,87.5,85.0,88.75,87.5,80.0,82.5
246,100.0,90.0,88.75,75.0,82.5,82.5
247,100.0,92.5,88.75,87.5,85.0,82.5
248,75.0,90.0,86.25,100.0,90.0,82.5
249,87.5,90.0,86.25,75.0,85.0,83.75
250,100.0,92.5,88.75,50.0,77.5,78.75
251,87.5,90.0,90.0,100.0,82.5,82.5
252,75.0,85.0,88.75,100.0,85.0,85.0
253,75.0,85.0,87.5,87.5,82.5,86.25
254,100.0,87.5,88.75,87.5,85.0,85.0
255,100.0,87.5,90.0,75.0,90.0,83.75
256,100.0,90.0,90.0,87.5,87.5,85.0
257,100.0,95.0,90.0,100.0,87.5,86.25
258,87.5,97.5,91.25,87.5,87.5,85.0
259,87.5,95.0,91.25,87.5,87.5,86.25
260,87.5,92.5,90.0,87.5,90.0,90.0
261,100.0,92.5,91.25,100.0,92.5,90.0
262,87.5,90.0,92.5,87.5,90.0,88.75
263,100.0,92.5,95.0,100.0,92.5,90.0
264,62.5,87.5,91.25,62.5,87.5,87.5
265,87.5,87.5,90.0,100.0,90.0,90.0
266,75.0,82.5,87.5,62.5,82.5,87.5
267,100.0,85.0,87.5,75.0,80.0,85.0
268,87.5,82.5,87.5,100.0,80.0,86.25
269,100.0,90.0,88.75,,,
270,100.0,92.5,90.0,,,
271,100.0,97.5,90.0,,,
272,100.0,97.5,91.25,,,
273,75.0,95.0,88.75,,,
