tag,completed_round,raw_step,value,wall_time
rollout/advantages_max,44,43,2.4748666286468506,1788736131.386147
rollout/advantages_max,45,44,2.4748666286468506,1788737601.4507723
rollout/advantages_max,46,45,2.4748666286468506,1788738876.429686
rollout/advantages_max,47,46,2.4748666286468506,1788740081.6574728
rollout/advantages_max,48,47,2.4748666286468506,1788741287.8418205
rollout/advantages_max,49,48,1.6201815605163574,1788742489.7617955
rollout/advantages_max,50,49,2.4748666286468506,1788743990.649796
rollout/advantages_max,51,50,1.6201815605163574,1788745212.414666
rollout/advantages_max,52,51,2.4748666286468506,1788746420.9129457
rollout/advantages_max,53,52,2.4748666286468506,1788747685.3895555
rollout/advantages_max,54,53,2.4748666286468506,1788748896.4599442
rollout/advantages_max,55,54,1.6201815605163574,1788750403.6155837
rollout/advantages_max,56,55,2.4748666286468506,1788751650.6039495
rollout/advantages_max,57,56,2.4748666286468506,1788752891.78971
rollout/advantages_max,58,57,2.4748666286468506,1788754148.1894248
rollout/advantages_max,59,58,2.4748666286468506,1788755460.583698
rollout/advantages_max,60,59,2.4748666286468506,1788757051.739341
rollout/advantages_min,1,0,-2.4748666286468506,1788680085.6823401
rollout/advantages_min,2,1,-2.4748666286468506,1788681392.669377
rollout/advantages_min,3,2,-2.4748666286468506,1788682707.4859862
rollout/advantages_min,4,3,-2.4748666286468506,1788684036.5360522
rollout/advantages_min,5,4,-2.4748666286468506,1788685567.7631056
rollout/advantages_min,6,5,-2.4748666286468506,1788686791.1606555
rollout/advantages_min,7,6,-2.4748666286468506,1788688063.2789588
rollout/advantages_min,8,7,-2.4748666286468506,1788689343.9149048
rollout/advantages_min,9,8,-2.4748666286468506,1788690653.990518
rollout/advantages_min,10,9,-2.4748666286468506,1788692253.712188
rollout/advantages_min,11,10,-2.4748666286468506,1788693519.8051848
rollout/advantages_min,12,11,-2.4748666286468506,1788694765.296216
rollout/advantages_min,13,12,-2.4748666286468506,1788696023.0761306
rollout/advantages_min,14,13,-2.4748666286468506,1788697305.0104723
rollout/advantages_min,15,14,-2.4748666286468506,1788698806.757168
rollout/advantages_min,16,15,-2.4748666286468506,1788700033.15738
rollout/advantages_min,17,16,-2.4748666286468506,1788701301.642945
rollout/advantages_min,18,17,-2.4748666286468506,1788702510.483664
rollout/advantages_min,19,18,-2.4748666286468506,1788703724.57696
rollout/advantages_min,20,19,-1.6201815605163574,1788705298.390056
rollout/advantages_min,21,20,-2.4748666286468506,1788706530.1766746
rollout/advantages_min,22,21,-2.4748666286468506,1788707800.105102
rollout/advantages_min,23,22,-2.4748666286468506,1788709018.3771253
