global_step,aligned_runner_index_zero_based,baseline_available,current_available,current_success_once,baseline_success_once,delta_success_once,current_approx_kl,baseline_approx_kl,delta_approx_kl,current_clip_fraction,baseline_clip_fraction,delta_clip_fraction,current_grad_norm,baseline_grad_norm,delta_grad_norm,current_step_time_s,baseline_step_time_s,delta_step_time_s,current_mean_step_time_s,baseline_mean_step_time_s,delta_mean_step_time_s
44,43,1,1,0.85546875,0.84375,0.01171875,0.048,0.036,0.012000000000000004,0.126,0.112,0.013999999999999999,35.227,29.856,5.370999999999995,1497.7,1503.3,-5.599999999999909,1485.55,1476.564,8.985999999999876
45,44,1,1,0.890625,0.90234375,-0.01171875,0.044,0.056,-0.012000000000000004,0.175,0.134,0.04099999999999998,39.558,29.022,10.536000000000001,1480.5,1468.0,12.5,1485.437,1476.374,9.062999999999874
46,45,1,1,0.875,0.921875,-0.046875,0.051,0.065,-0.014000000000000005,0.157,0.109,0.048,35.661,25.429,10.232000000000003,1475.0,1489.6,-14.599999999999909,1485.211,1476.662,8.548999999999978
47,46,1,1,0.87890625,0.93359375,-0.0546875,0.059,0.074,-0.015,0.145,0.161,-0.016000000000000014,27.552,26.981,0.570999999999998,1468.3,1474.9,-6.600000000000136,1484.851,1476.625,8.226000000000113
48,47,1,1,0.85546875,0.85546875,0.0,0.077,0.038,0.039,0.157,0.119,0.038000000000000006,29.441,24.576,4.864999999999998,1501.6,1485.5,16.09999999999991,1485.201,1476.811,8.3900000000001
49,48,1,1,0.91015625,0.91015625,0.0,0.03,0.024,0.005999999999999998,0.159,0.161,-0.0020000000000000018,33.851,35.767,-1.916000000000004,1508.6,1485.0,23.59999999999991,1485.679,1476.979,8.700000000000045
50,49,1,1,0.8828125,0.96484375,-0.08203125,0.042,0.024,0.018000000000000002,0.21,0.158,0.05199999999999999,40.118,22.691,17.427000000000003,1502.0,1457.3,44.700000000000045,1486.005,1476.586,9.419000000000096
51,50,1,1,0.95703125,0.92578125,0.03125,0.091,0.037,0.054,0.141,0.161,-0.020000000000000018,21.789,30.556,-8.767,1457.2,1421.7,35.5,1485.442,1475.51,9.932000000000016
52,51,1,0,,0.95703125,,,0.024,,,0.134,,,21.135,,,1434.4,,,1474.721,
53,52,1,0,,0.94921875,,,0.061,,,0.123,,,28.809,,,1420.4,,,1473.697,
54,53,1,0,,0.9375,,,0.087,,,0.157,,,30.0,,,1427.1,,,1472.835,
55,54,1,0,,0.921875,,,0.055,,,0.12,,,28.294,,,1451.3,,,1472.444,
56,55,1,0,,0.8984375,,,0.065,,,0.151,,,29.98,,,1435.9,,,1471.791,
57,56,1,0,,0.91796875,,,0.05,,,0.151,,,24.332,,,1430.3,,,1471.064,
58,57,1,0,,0.9609375,,,0.077,,,0.125,,,21.694,,,1432.5,,,1470.399,
59,58,1,0,,0.9453125,,,0.051,,,0.103,,,27.299,,,1411.9,,,1469.408,
60,59,1,0,,0.94140625,,,0.044,,,0.271,,,19.938,,,1433.6,,,1468.812,
61,60,1,0,,0.96875,,,0.064,,,0.154,,,21.15,,,1420.3,,,1468.017,
62,61,1,0,,0.96875,,,0.012,,,0.146,,,16.734,,,1426.0,,,1467.34,
63,62,1,0,,0.984375,,,0.0022,,,0.057,,,11.659,,,1409.9,,,1466.428,
64,63,1,0,,0.91796875,,,0.03,,,0.149,,,21.436,,,1427.8,,,1465.825,
65,64,1,0,,0.953125,,,0.0078,,,0.142,,,15.301,,,1414.8,,,1465.04,
66,65,1,0,,0.94140625,,,0.027,,,0.089,,,22.573,,,1410.3,,,1464.212,
67,66,1,0,,0.9765625,,,0.071,,,0.164,,,14.185,,,1424.0,,,1463.611,
68,67,1,0,,0.97265625,,,0.053,,,0.087,,,21.137,,,1435.7,,,1463.202,
69,68,1,0,,0.984375,,,0.13,,,0.185,,,16.611,,,1422.8,,,1462.616,
70,69,1,0,,0.94921875,,,0.04,,,0.192,,,25.203,,,1447.1,,,1462.395,
71,70,1,0,,0.95703125,,,-0.015,,,0.079,,,18.413,,,1420.0,,,1461.799,
72,71,1,0,,0.9765625,,,0.106,,,0.134,,,16.931,,,1423.0,,,1461.26,
73,72,1,0,,0.9375,,,0.046,,,0.144,,,25.307,,,1399.5,,,1460.414,
74,73,1,0,,0.984375,,,0.0076,,,0.116,,,8.236,,,1409.4,,,1459.724,
75,74,1,0,,0.8515625,,,0.035,,,0.147,,,28.934,,,1445.4,,,1459.534,
76,75,1,0,,0.9609375,,,0.044,,,0.222,,,22.708,,,1410.6,,,1458.891,
77,76,1,0,,0.9765625,,,0.075,,,0.262,,,19.562,,,1407.8,,,1458.228,
78,77,1,0,,0.9140625,,,0.055,,,0.19,,,31.653,,,1434.6,,,1457.926,
79,78,1,0,,0.90625,,,0.06,,,0.167,,,21.713,,,1422.1,,,1457.473,
80,79,1,0,,0.93359375,,,0.036,,,0.16,,,26.181,,,1452.1,,,1457.406,
81,80,1,0,,0.9375,,,0.053,,,0.113,,,24.433,,,1437.0,,,1457.155,
82,81,1,0,,0.9765625,,,0.044,,,0.191,,,20.879,,,1423.4,,,1456.743,
83,82,1,0,,0.9609375,,,0.086,,,0.215,,,23.274,,,1421.8,,,1456.322,
84,83,1,0,,0.96484375,,,0.044,,,0.215,,,18.169,,,1426.0,,,1455.962,
85,84,1,0,,0.96875,,,0.039,,,0.18,,,18.361,,,1408.0,,,1455.397,
86,85,1,0,,0.96484375,,,0.024,,,0.206,,,17.351,,,1414.6,,,1454.923,
87,86,1,0,,0.9453125,,,0.053,,,0.176,,,14.934,,,1423.9,,,1454.567,
88,87,1,0,,0.96484375,,,0.0096,,,0.145,,,18.166,,,1415.0,,,1454.117,
89,88,1,0,,0.96484375,,,0.093,,,0.139,,,27.468,,,1428.5,,,1453.83,
90,89,1,0,,0.94921875,,,0.064,,,0.145,,,20.217,,,1436.3,,,1453.635,
91,90,1,0,,0.98046875,,,0.013,,,0.195,,,12.607,,,1419.7,,,1453.263,
92,91,1,0,,0.9765625,,,0.011,,,0.189,,,19.078,,,1414.6,,,1452.843,
93,92,1,0,,0.97265625,,,0.07,,,0.155,,,18.852,,,1394.9,,,1452.22,
94,93,1,0,,0.94921875,,,0.072,,,0.176,,,34.105,,,1416.3,,,1451.838,
95,94,1,0,,0.94921875,,,0.061,,,0.199,,,30.384,,,1413.8,,,1451.438,
96,95,1,0,,0.9140625,,,0.032,,,0.083,,,16.397,,,1426.5,,,1451.179,
97,96,1,0,,0.9765625,,,0.053,,,0.085,,,18.763,,,1419.5,,,1450.853,
98,97,1,0,,0.96484375,,,0.0096,,,0.147,,,14.085,,,1414.2,,,1450.479,
99,98,1,0,,0.95703125,,,0.06,,,0.147,,,28.208,,,1428.9,,,1450.261,
100,99,1,0,,0.984375,,,0.036,,,0.142,,,10.472,,,1441.4,,,1450.172,
