step,clean_raw_pct,clean_ma5_pct,clean_ma10_pct,clean_ma20_pct,old_raw_pct,old_ma5_pct,old_ma10_pct,old_ma20_pct,pure02_raw_pct,pure02_ma5_pct,pure02_ma10_pct,pure02_ma20_pct,pure03_raw_pct,pure03_ma5_pct,pure03_ma10_pct,pure03_ma20_pct,pure04_raw_pct,pure04_ma5_pct,pure04_ma10_pct,pure04_ma20_pct,pure05_raw_pct,pure05_ma5_pct,pure05_ma10_pct,pure05_ma20_pct
79,12.5,7.5,17.5,15.0,37.5,20.0,16.25,16.25,12.5,7.5,17.5,16.25,0.0,10.0,15.0,18.75,37.5,10.0,13.75,13.125,25.0,15.0,15.0,17.5
80,0.0,5.0,15.0,15.0,12.5,12.5,15.0,16.25,12.5,7.5,15.0,15.0,12.5,7.5,11.25,18.125,0.0,10.0,12.5,12.5,12.5,15.0,13.75,16.875
81,25.0,10.0,15.0,15.625,25.0,17.5,16.25,16.875,37.5,12.5,15.0,16.875,37.5,12.5,15.0,18.75,25.0,12.5,15.0,13.125,25.0,15.0,15.0,16.875
82,25.0,15.0,13.75,16.25,12.5,20.0,16.25,17.5,12.5,15.0,15.0,17.5,37.5,20.0,17.5,20.0,12.5,15.0,13.75,13.75,12.5,17.5,16.25,16.25
83,12.5,15.0,13.75,16.875,0.0,17.5,15.0,15.625,12.5,17.5,12.5,16.25,0.0,17.5,15.0,17.5,25.0,20.0,12.5,15.0,12.5,17.5,15.0,15.0
84,0.0,12.5,10.0,16.25,0.0,10.0,15.0,15.0,12.5,17.5,12.5,16.25,0.0,17.5,13.75,16.25,0.0,12.5,11.25,14.375,25.0,17.5,16.25,14.375
85,12.5,15.0,10.0,15.0,12.5,10.0,11.25,13.75,0.0,15.0,11.25,15.0,12.5,17.5,12.5,15.625,12.5,15.0,12.5,13.125,12.5,17.5,16.25,15.0
86,50.0,20.0,15.0,16.875,25.0,10.0,13.75,14.375,0.0,7.5,10.0,15.0,37.5,17.5,15.0,16.875,37.5,17.5,15.0,15.0,25.0,17.5,16.25,15.625
87,0.0,15.0,15.0,16.25,25.0,12.5,16.25,15.0,12.5,7.5,11.25,15.625,25.0,15.0,17.5,16.875,37.5,22.5,18.75,15.625,12.5,17.5,17.5,15.0
88,0.0,12.5,13.75,15.625,0.0,12.5,15.0,13.75,0.0,5.0,11.25,15.0,0.0,15.0,16.25,16.25,0.0,17.5,18.75,14.375,0.0,15.0,16.25,15.0
89,12.5,15.0,13.75,15.625,0.0,12.5,11.25,13.75,12.5,5.0,11.25,14.375,12.5,17.5,17.5,16.25,0.0,17.5,15.0,14.375,25.0,15.0,16.25,15.625
