step,control_raw_pct,control_ma5_pct,control_ma10_pct,method_raw_pct,method_ma5_pct,method_ma10_pct
322.0,100.0,87.5,80.0,75.0,72.5,75.0
323.0,87.5,90.0,81.25,62.5,72.5,71.25
324.0,100.0,90.0,82.5,100.0,80.0,76.25
325.0,75.0,87.5,83.75,62.5,77.5,73.75
326.0,87.5,90.0,86.25,62.5,72.5,72.5
327.0,87.5,87.5,87.5,87.5,75.0,73.75
328.0,87.5,87.5,88.75,100.0,82.5,77.5
329.0,75.0,82.5,86.25,75.0,77.5,78.75
330.0,75.0,82.5,85.0,50.0,75.0,76.25
331.0,75.0,80.0,85.0,87.5,80.0,76.25
332.0,100.0,82.5,85.0,75.0,77.5,76.25
333.0,87.5,82.5,85.0,75.0,72.5,77.5
334.0,87.5,85.0,83.75,87.5,75.0,76.25
335.0,87.5,87.5,85.0,87.5,82.5,78.75
336.0,100.0,92.5,86.25,75.0,80.0,80.0
337.0,75.0,87.5,85.0,50.0,75.0,76.25
338.0,62.5,82.5,82.5,100.0,80.0,76.25
339.0,75.0,80.0,82.5,62.5,75.0,75.0
340.0,50.0,72.5,80.0,87.5,75.0,78.75
341.0,62.5,65.0,78.75,87.5,77.5,78.75
342.0,87.5,67.5,77.5,100.0,87.5,81.25
343.0,87.5,72.5,77.5,75.0,82.5,81.25
344.0,87.5,75.0,77.5,87.5,87.5,81.25
345.0,87.5,82.5,77.5,87.5,87.5,81.25
346.0,75.0,85.0,75.0,75.0,85.0,81.25
347.0,75.0,82.5,75.0,75.0,80.0,83.75
348.0,62.5,77.5,75.0,75.0,80.0,81.25
349.0,87.5,77.5,76.25,100.0,82.5,85.0
350.0,75.0,75.0,78.75,75.0,80.0,83.75
351.0,87.5,77.5,81.25,62.5,77.5,81.25
352.0,87.5,80.0,81.25,75.0,77.5,78.75
353.0,100.0,87.5,82.5,100.0,82.5,81.25
354.0,62.5,82.5,80.0,100.0,82.5,82.5
355.0,87.5,85.0,80.0,87.5,85.0,82.5
356.0,75.0,82.5,80.0,75.0,87.5,82.5
357.0,75.0,80.0,80.0,62.5,85.0,81.25
358.0,75.0,75.0,81.25,100.0,85.0,83.75
359.0,87.5,80.0,81.25,62.5,77.5,80.0
360.0,75.0,77.5,81.25,62.5,72.5,78.75
361.0,62.5,75.0,78.75,62.5,70.0,78.75
362.0,75.0,75.0,77.5,75.0,72.5,78.75
363.0,87.5,77.5,76.25,75.0,67.5,76.25
364.0,100.0,80.0,80.0,75.0,70.0,73.75
365.0,87.5,82.5,80.0,87.5,75.0,73.75
366.0,62.5,82.5,78.75,75.0,77.5,73.75
367.0,87.5,85.0,80.0,87.5,80.0,76.25
368.0,62.5,80.0,78.75,62.5,77.5,72.5
369.0,87.5,77.5,78.75,87.5,80.0,75.0
370.0,87.5,77.5,80.0,100.0,82.5,78.75
371.0,100.0,85.0,83.75,75.0,82.5,80.0
372.0,100.0,87.5,86.25,87.5,82.5,81.25
373.0,100.0,95.0,87.5,100.0,90.0,83.75
374.0,87.5,95.0,86.25,100.0,92.5,86.25
375.0,87.5,95.0,86.25,75.0,87.5,85.0
376.0,87.5,92.5,88.75,100.0,92.5,87.5
377.0,100.0,92.5,90.0,87.5,92.5,87.5
378.0,75.0,87.5,91.25,75.0,87.5,88.75
379.0,75.0,85.0,90.0,75.0,82.5,87.5
380.0,87.5,85.0,90.0,87.5,85.0,86.25
381.0,62.5,80.0,86.25,100.0,85.0,88.75
382.0,75.0,75.0,83.75,100.0,87.5,90.0
383.0,100.0,80.0,83.75,87.5,90.0,88.75
384.0,75.0,80.0,82.5,87.5,92.5,87.5
385.0,87.5,80.0,82.5,75.0,90.0,87.5
386.0,100.0,87.5,83.75,100.0,90.0,87.5
387.0,100.0,92.5,83.75,87.5,87.5,87.5
388.0,100.0,92.5,86.25,100.0,90.0,90.0
389.0,75.0,92.5,86.25,75.0,87.5,90.0
390.0,75.0,90.0,85.0,87.5,90.0,90.0
391.0,87.5,87.5,87.5,87.5,87.5,88.75
392.0,87.5,85.0,88.75,75.0,85.0,86.25
393.0,87.5,82.5,87.5,87.5,82.5,86.25
394.0,100.0,87.5,90.0,75.0,82.5,85.0
395.0,100.0,92.5,91.25,100.0,85.0,87.5
396.0,100.0,95.0,91.25,75.0,82.5,85.0
397.0,100.0,97.5,91.25,100.0,87.5,86.25
398.0,75.0,95.0,88.75,87.5,87.5,85.0
399.0,75.0,90.0,88.75,100.0,92.5,87.5
400.0,62.5,82.5,87.5,87.5,90.0,87.5
401.0,100.0,82.5,88.75,100.0,95.0,88.75
402.0,100.0,82.5,90.0,100.0,95.0,91.25
403.0,75.0,82.5,88.75,87.5,95.0,91.25
404.0,87.5,85.0,87.5,87.5,92.5,92.5
405.0,87.5,90.0,86.25,62.5,87.5,88.75
406.0,87.5,87.5,85.0,75.0,82.5,88.75
407.0,100.0,87.5,85.0,87.5,80.0,87.5
408.0,87.5,90.0,86.25,75.0,77.5,86.25
409.0,75.0,87.5,86.25,75.0,75.0,83.75
410.0,100.0,90.0,90.0,87.5,80.0,83.75
411.0,75.0,87.5,87.5,75.0,80.0,81.25
412.0,87.5,85.0,86.25,87.5,80.0,80.0
413.0,100.0,87.5,88.75,87.5,82.5,80.0
414.0,87.5,90.0,88.75,87.5,85.0,80.0
415.0,100.0,90.0,90.0,75.0,82.5,81.25
416.0,62.5,87.5,87.5,75.0,82.5,81.25
417.0,100.0,90.0,87.5,100.0,85.0,82.5
418.0,100.0,90.0,88.75,100.0,87.5,85.0
419.0,100.0,92.5,91.25,87.5,87.5,86.25
420.0,87.5,90.0,90.0,87.5,90.0,86.25
421.0,100.0,97.5,92.5,75.0,90.0,86.25
422.0,100.0,97.5,93.75,100.0,90.0,87.5
423.0,100.0,97.5,93.75,87.5,87.5,87.5
424.0,87.5,95.0,93.75,100.0,90.0,88.75
425.0,87.5,95.0,92.5,100.0,92.5,91.25
426.0,100.0,95.0,96.25,62.5,90.0,90.0
427.0,100.0,95.0,96.25,87.5,87.5,88.75
428.0,87.5,92.5,95.0,87.5,87.5,87.5
429.0,100.0,95.0,95.0,100.0,87.5,88.75
430.0,87.5,95.0,95.0,87.5,85.0,88.75
431.0,100.0,95.0,95.0,87.5,90.0,90.0
432.0,100.0,95.0,95.0,100.0,92.5,90.0
433.0,87.5,95.0,93.75,75.0,90.0,88.75
434.0,100.0,95.0,95.0,75.0,85.0,86.25
435.0,100.0,97.5,96.25,100.0,87.5,86.25
436.0,87.5,95.0,95.0,87.5,87.5,88.75
437.0,100.0,95.0,95.0,75.0,82.5,87.5
438.0,100.0,97.5,96.25,87.5,85.0,87.5
439.0,87.5,95.0,95.0,62.5,82.5,83.75
440.0,87.5,92.5,95.0,75.0,77.5,82.5
441.0,87.5,92.5,93.75,75.0,75.0,81.25
442.0,100.0,92.5,93.75,75.0,75.0,78.75
443.0,87.5,90.0,93.75,87.5,75.0,80.0
444.0,100.0,92.5,93.75,100.0,82.5,82.5
445.0,50.0,85.0,88.75,62.5,80.0,78.75
446.0,87.5,85.0,88.75,87.5,82.5,78.75
447.0,100.0,85.0,88.75,87.5,85.0,80.0
448.0,75.0,82.5,86.25,87.5,85.0,80.0
449.0,87.5,80.0,86.25,100.0,85.0,83.75
450.0,75.0,85.0,85.0,75.0,87.5,83.75
451.0,100.0,87.5,86.25,75.0,85.0,83.75
452.0,87.5,85.0,85.0,75.0,82.5,83.75
453.0,87.5,87.5,85.0,100.0,85.0,85.0
454.0,87.5,87.5,83.75,100.0,85.0,85.0
455.0,100.0,92.5,88.75,87.5,87.5,87.5
456.0,50.0,82.5,85.0,87.5,90.0,87.5
457.0,100.0,85.0,85.0,87.5,92.5,87.5
458.0,100.0,87.5,87.5,62.5,85.0,85.0
459.0,100.0,90.0,88.75,87.5,82.5,83.75
