scope,scheme,valid_queries,positions,weight_min,weight_p01,weight_p05,weight_p25,weight_median,weight_mean,weight_p75,weight_p95,weight_p99,weight_max,weight_std,mean_square_weight,l2_scale_proxy,global_ess_fraction,query_ess_fraction_p05,query_ess_fraction_median,query_ess_fraction_mean,orthogonal_equal_gradient_cosine_proxy,orthogonal_equal_gradient_angle_deg_proxy,fraction_zero,fraction_below_one,fraction_above_one,query_mean_p05,query_mean_median,query_mean_p95,front_h00_24_mean,back_h25_49_mean,back_minus_front,back_over_front
latest_g39,mean1_symmetric_a0.2,242,12100,0.49177831411361694,0.6559966307878494,0.756705927848816,0.9033228754997253,1.0041083693504333,1.0,1.0947853028774261,1.24086058139801,1.323685829639435,1.4978615045547485,0.1448226422071457,1.020973563194275,1.0104323625564575,0.9794573187828064,0.9646008014678955,0.9803219437599182,0.9795283079147339,0.9896753602989247,8.240422006031277,0.0,0.48958677685950414,0.5104132231404959,0.9999998211860657,1.0,1.0000001192092896,0.960139274597168,1.039860725402832,0.07972145080566406,1.083031177520752
latest_g39,up_only_a0.2,242,12100,1.0,1.0,1.0,1.0,1.0401583909988403,1.1058679819107056,1.1864759624004364,1.399999976158142,1.399999976158142,1.399999976158142,0.13227571547031403,1.2404407262802124,1.113750696182251,0.9858946800231934,0.9831523299217224,0.991724967956543,0.9914456009864807,0.9929222930437172,6.820879899605062,0.0,0.0,0.5747107438016529,1.0074164867401123,1.097966194152832,1.2595350742340088,1.0740342140197754,1.1377016305923462,0.0636674165725708,1.0592787265777588
latest_g39,mean1_up_only_a0.2,242,12100,0.7268513441085815,0.8141695541143418,0.8708804845809937,0.9429939091205597,0.9863957762718201,1.0,1.051798701286316,1.185524344444275,1.2552329909801483,1.356552243232727,0.09304485470056534,1.0086573362350464,1.0043193101882935,0.9914169907569885,0.9831521511077881,0.9917248487472534,0.9914454817771912,0.9956992471409168,5.315763440136293,0.0,0.6131404958677686,0.38272727272727275,0.9999998211860657,1.0,1.0000001192092896,0.9722477197647095,1.027752161026001,0.055504441261291504,1.0570887327194214
latest_g39,symmetric_a0.3,242,12100,0.3999999761581421,0.48940709710121155,0.6373131692409515,0.867025688290596,1.0602375864982605,1.0786314010620117,1.279714047908783,1.600000023841858,1.600000023841858,1.600000023841858,0.28497403860092163,1.244655966758728,1.115641474723816,0.9347528219223022,0.9275525212287903,0.9572196006774902,0.9566236734390259,0.9668261591011603,14.799378572470388,0.0,0.4252892561983471,0.5747107438016529,0.8104556202888489,1.0719664096832275,1.3639267683029175,1.0127407312393188,1.1445221900939941,0.1317814588546753,1.1301236152648926
latest_g39,mean1_symmetric_a0.3,242,12100,0.31890949606895447,0.4992357733845711,0.6420231401920319,0.8561398833990097,1.0059546828269958,1.0000001192092896,1.1383459270000458,1.3586382269859314,1.4887668824195863,1.7738385200500488,0.21373553574085236,1.0456829071044922,1.0225863456726074,0.956312894821167,0.9275527596473694,0.9572196006774902,0.9566237330436707,0.9779125190021687,12.0646118499376,0.0,0.48958677685950414,0.5104132231404959,0.9999999403953552,1.0,1.0000001192092896,0.9427077174186707,1.0572922229766846,0.11458450555801392,1.1215482950210571
latest_g39,up_only_a0.3,242,12100,1.0,1.0,1.0,1.0,1.0602375864982605,1.1588019132614136,1.279714047908783,1.600000023841858,1.600000023841858,1.600000023841858,0.19841356575489044,1.3821897506713867,1.1756656169891357,0.9715177416801453,0.966896116733551,0.9832553863525391,0.98299241065979,0.9856559956090895,9.716130345807864,0.0,0.0,0.5747107438016529,1.0111247301101685,1.1469494104385376,1.3893022537231445,1.1110514402389526,1.2065523862838745,0.09550094604492188,1.0859555006027222
latest_g39,mean1_up_only_a0.3,242,12100,0.6395107507705688,0.7449533343315125,0.8180663585662842,0.9179376363754272,0.9802826642990112,1.0,1.0725118219852448,1.2636838853359222,1.366023063659668,1.526656150817871,0.13195155560970306,1.017411231994629,1.008668065071106,0.9828866720199585,0.966896116733551,0.9832552671432495,0.98299241065979,0.9914064111251039,7.5168592813847575,0.0,0.6131404958677686,0.38272727272727275,0.9999999403953552,1.0,1.0000001192092896,0.9608064293861389,1.0391935110092163,0.07838708162307739,1.0815846920013428
latest_g39,bounded_hard_top20_mean1,242,12100,0.95,0.95,0.95,0.95,0.95,0.9999999999999997,0.95,1.2,1.2,1.2,0.1,1.01,1.004987562112089,0.9900990099009895,0.9900990099009903,0.9900990099009904,0.9900990099009906,0.9950371902099888,5.710593137499824,0.0,0.8,0.2,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9814876033057848,1.0185123966942147,0.0370247933884299,1.0377231391040755
latest_g39,hardmask_top20_raw,242,12100,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1.0,0.4,0.2,0.4472135954999579,0.2,0.2,0.2,0.2,0.4472135954999579,63.43494882292201,0.8,0.8,0.0,0.2,0.2,0.2,0.1259504132231405,0.2740495867768595,0.148099173553719,2.1758530183727034
latest_g39,hardmask_top20_mean1,242,12100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,2.0,5.0,2.23606797749979,0.2,0.2,0.2,0.2,0.4472135954999579,63.43494882292201,0.8,0.8,0.2,1.0,1.0,1.0,0.6297520661157024,1.3702479338842974,0.740495867768595,2.1758530183727034
