step,rlt_raw_pct,rlt_ma5_pct,rlt_ma10_pct,dvac_bc_raw_pct,dvac_bc_ma5_pct,dvac_bc_ma10_pct,pure_s0p5_raw_pct,pure_s0p5_ma5_pct,pure_s0p5_ma10_pct,pure_s2p0_raw_pct,pure_s2p0_ma5_pct,pure_s2p0_ma10_pct
153,12.5,15.0,12.5,0.0,10.0,10.0,0.0,15.0,13.75,25.0,15.0,12.5
154,25.0,17.5,15.0,12.5,5.0,10.0,12.5,10.0,13.75,12.5,15.0,12.5
155,12.5,17.5,15.0,12.5,5.0,10.0,12.5,7.5,13.75,0.0,12.5,12.5
156,37.5,20.0,17.5,25.0,10.0,10.0,12.5,10.0,13.75,0.0,10.0,11.25
157,25.0,22.5,20.0,12.5,12.5,11.25,12.5,10.0,12.5,12.5,10.0,12.5
158,0.0,20.0,17.5,0.0,12.5,11.25,0.0,10.0,12.5,12.5,7.5,11.25
159,12.5,17.5,17.5,12.5,12.5,8.75,12.5,10.0,10.0,25.0,10.0,12.5
160,0.0,15.0,16.25,0.0,10.0,7.5,0.0,7.5,7.5,12.5,12.5,12.5
161,50.0,17.5,18.75,37.5,12.5,11.25,50.0,15.0,12.5,37.5,20.0,15.0
162,12.5,15.0,18.75,12.5,12.5,12.5,0.0,12.5,11.25,25.0,22.5,16.25
163,25.0,20.0,20.0,0.0,12.5,12.5,0.0,12.5,11.25,0.0,20.0,13.75
164,25.0,22.5,20.0,25.0,15.0,13.75,12.5,12.5,11.25,37.5,22.5,16.25
165,25.0,27.5,21.25,25.0,20.0,15.0,0.0,12.5,10.0,12.5,22.5,17.5
166,25.0,22.5,20.0,37.5,20.0,16.25,0.0,2.5,8.75,25.0,20.0,20.0
167,12.5,22.5,18.75,12.5,20.0,16.25,0.0,2.5,7.5,25.0,20.0,21.25
168,25.0,22.5,21.25,25.0,25.0,18.75,12.5,5.0,8.75,25.0,25.0,22.5
169,37.5,25.0,23.75,62.5,32.5,23.75,12.5,5.0,8.75,37.5,25.0,23.75
170,25.0,25.0,26.25,12.5,30.0,25.0,12.5,7.5,10.0,50.0,32.5,27.5
171,25.0,25.0,23.75,87.5,40.0,30.0,12.5,10.0,6.25,75.0,42.5,31.25
172,37.5,30.0,26.25,50.0,47.5,33.75,12.5,12.5,7.5,25.0,42.5,31.25
173,62.5,37.5,30.0,37.5,50.0,37.5,0.0,10.0,7.5,37.5,45.0,35.0
174,37.5,37.5,31.25,50.0,47.5,40.0,0.0,7.5,6.25,50.0,47.5,36.25
175,37.5,40.0,32.5,50.0,55.0,42.5,0.0,5.0,6.25,12.5,40.0,36.25
176,0.0,35.0,30.0,25.0,42.5,41.25,12.5,5.0,7.5,12.5,27.5,35.0
177,62.5,40.0,35.0,50.0,42.5,45.0,12.5,5.0,8.75,12.5,25.0,33.75
178,25.0,32.5,35.0,37.5,42.5,46.25,12.5,7.5,8.75,37.5,25.0,35.0
179,87.5,42.5,40.0,62.5,45.0,46.25,37.5,15.0,11.25,50.0,25.0,36.25
180,25.0,40.0,40.0,37.5,42.5,48.75,37.5,22.5,13.75,12.5,25.0,32.5
181,37.5,47.5,41.25,37.5,45.0,43.75,12.5,22.5,13.75,50.0,32.5,30.0
182,50.0,45.0,42.5,50.0,45.0,43.75,37.5,27.5,16.25,37.5,37.5,31.25
183,50.0,50.0,41.25,75.0,52.5,47.5,25.0,30.0,18.75,25.0,35.0,30.0
184,25.0,37.5,40.0,37.5,47.5,46.25,50.0,32.5,23.75,50.0,35.0,30.0
185,62.5,45.0,42.5,37.5,47.5,45.0,37.5,32.5,27.5,62.5,45.0,35.0
186,87.5,55.0,51.25,75.0,55.0,50.0,37.5,37.5,30.0,50.0,45.0,38.75
187,62.5,57.5,51.25,62.5,57.5,51.25,62.5,42.5,35.0,37.5,45.0,41.25
188,50.0,57.5,53.75,37.5,50.0,51.25,62.5,50.0,40.0,87.5,57.5,46.25
189,62.5,65.0,51.25,50.0,52.5,50.0,75.0,55.0,43.75,62.5,60.0,47.5
190,75.0,67.5,56.25,75.0,60.0,53.75,50.0,57.5,45.0,37.5,55.0,50.0
191,75.0,65.0,60.0,75.0,60.0,57.5,75.0,65.0,51.25,62.5,57.5,51.25
192,50.0,62.5,60.0,62.5,60.0,58.75,75.0,67.5,55.0,100.0,70.0,57.5
193,75.0,67.5,62.5,87.5,70.0,60.0,87.5,72.5,61.25,75.0,67.5,62.5
194,87.5,72.5,68.75,75.0,75.0,63.75,87.5,75.0,65.0,75.0,70.0,65.0
195,25.0,62.5,65.0,62.5,72.5,66.25,87.5,82.5,70.0,100.0,82.5,68.75
