group_id,policy,checkpoint,task,phase_axis,phase_coarse,phase_task,query_state_phase,metric,episodes,mean,bootstrap_ci_low,bootstrap_ci_high,inference_limit
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,approach,mean_abs_R_std,2,0.6343828380573362,0.5854060565244484,0.6833596195902241,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,approach,mean_abs_I_raw,2,0.3099524775089123,0.28318961557744876,0.3367153394403758,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,approach,mean_abs_I_std,2,0.5280533187233977,0.47397263801071765,0.5821339994360777,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,approach,mean_y_ln,2,-8.803569869118908,-9.001041626880673,-8.606098111357143,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,grasp-contact,mean_S_raw,2,-0.23232153365614377,-0.3004087993576377,-0.16423426795464985,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,grasp-contact,mean_S_std,2,-0.3819670537831816,-0.4657664377430385,-0.29816766982332465,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,grasp-contact,mean_abs_R_std,2,0.6624273631757496,0.5931851686449635,0.7316695577065357,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,grasp-contact,mean_abs_I_raw,2,0.3328096995072458,0.2864123041091209,0.3792070949053708,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,grasp-contact,mean_abs_I_std,2,0.5465012250358421,0.4698534531236489,0.6231489969480352,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,grasp-contact,mean_y_ln,2,-8.879384738528671,-8.947472004230164,-8.811297472827176,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,transport-or-rotate,mean_S_raw,2,0.12851145924484003,0.018283586694645804,0.2387393317950343,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
fastwam__move_stapler_pad__run-fastwam-move_stapler_pad-p2-16ep__cohort-fastwam-move_stapler_pad__robotwin_uncond_3cam_384.pt-1775f391,fastwam,/data/chenyiteng/models/fastwam/release-8eaceeb/robotwin_uncond_3cam_384.pt,move_stapler_pad,query_state_phase,UNLABELED,UNLABELED,transport-or-rotate,mean_S_std,2,0.22916498907442467,0.03883754655815583,0.4194924315906935,"episode-first descriptive bootstrap; phase labels independent; observational, not causal"
