runner_step_internal,global_step,h,warmup,query_count_all,valid_query_count,v_l2_mean,v_l2_median,log_v_l2_mean,v_l3_mean,v_l3_median,log_v_l3_mean,v_l4_mean,v_l4_median,log_v_l4_mean,weight_mean_all,weight_mean_valid,weight_p05_valid,weight_p50_valid,weight_p95_valid,weight_low_clip_fraction_valid,weight_high_clip_fraction_valid,positive_adv_weight_mean_valid,negative_adv_weight_mean_valid
2,3,0,0,1024,572,0.00263820782,0.002239351743,-6.067262582,0.008299966133,0.00764491735,-4.871177421,0.02929009917,0.0279220771,-3.570481145,0.930660801,0.9355067683,0.839834851,0.9342888296,1.036468393,0.01223776224,0,0.9386067004,0.928531921
2,3,1,0,1024,572,0.002704921292,0.002305971342,-6.066854354,0.008651374184,0.00783388596,-4.844842199,0.02945141501,0.02797565795,-3.571370725,0.9347752865,0.9438442978,0.8434118986,0.9401061535,1.049335384,0.01048951049,0,0.9441524788,0.9431508905
2,3,2,0,1024,572,0.002821584226,0.002336544101,-6.029467925,0.008627653686,0.007838977966,-4.848214425,0.0304517133,0.02874478325,-3.548213273,0.9342243164,0.9439387722,0.843119666,0.9430996478,1.050295079,0.006993006993,0.001748251748,0.9460617664,0.9391620352
2,3,3,0,1024,572,0.003190532381,0.002600446343,-5.927665395,0.009417073789,0.008452226408,-4.769171062,0.03269682439,0.03042045888,-3.482214548,0.9463378512,0.9534498303,0.8531328291,0.9495710731,1.063180399,0.001748251748,0,0.9516901357,0.9574091431
2,3,4,0,1024,572,0.003478818306,0.002753091278,-5.850433445,0.01004215532,0.008809713181,-4.719243995,0.03551192803,0.03239251673,-3.415934168,0.9535461165,0.9622769386,0.8451213926,0.9585871696,1.082848215,0.005244755245,0,0.9589271928,0.9698138667
2,3,5,0,1024,572,0.003653959546,0.002960101701,-5.804287721,0.01062801116,0.009111213498,-4.683467021,0.03770156266,0.03268406726,-3.383277375,0.9590610296,0.9674268192,0.8508859783,0.9637294114,1.10520162,0.003496503497,0.001748251748,0.9616672339,0.980385886
2,3,6,0,1024,572,0.003898884111,0.003133565653,-5.742029441,0.0111728243,0.009367289022,-4.647260535,0.03863012009,0.03274496831,-3.371751016,0.9645238118,0.9764217183,0.8553501815,0.9713376164,1.120853263,0.005244755245,0.003496503497,0.9697263012,0.9914864068
2,3,7,0,1024,572,0.004060791752,0.003178615938,-5.721209844,0.01171616444,0.00965429144,-4.614285331,0.0406649402,0.03365534544,-3.335918464,0.9693064394,0.9793487683,0.8626822829,0.9726379216,1.125279027,0,0.01048951049,0.9728492681,0.9939726439
2,3,8,0,1024,572,0.004296509843,0.003297816031,-5.676959805,0.01236954926,0.009672059212,-4.57909263,0.04139144775,0.03387077898,-3.330721371,0.9747253761,0.9869726711,0.8532029659,0.9805624783,1.141028583,0.003496503497,0.01573426573,0.9792702391,1.004303143
2,3,9,0,1024,572,0.004479379616,0.003283904749,-5.643794968,0.01283246945,0.01007021125,-4.553821129,0.04207497138,0.03311390802,-3.332095564,0.978004759,0.9901270428,0.8599837989,0.982509464,1.158639705,0.003496503497,0.02097902098,0.9827934567,1.006627611
2,3,10,0,1024,572,0.004597353276,0.003324034507,-5.640754256,0.01341502018,0.010071659,-4.529820954,0.04417284856,0.03369911574,-3.310637949,0.9813449106,0.9965006396,0.8616439342,0.9863445461,1.160925835,0.006993006993,0.03146853147,0.9892344701,1.012849521
2,3,11,0,1024,572,0.004660801323,0.003404410556,-5.616591661,0.01408777081,0.01059829351,-4.484584738,0.04668915966,0.03503002413,-3.270133209,0.9877393296,1.00384376,0.8709941804,0.9946481287,1.172252023,0.005244755245,0.03321678322,0.9958993413,1.021718703
2,3,12,0,1024,572,0.004725396712,0.003481892869,-5.601241401,0.01470936596,0.01103879325,-4.451900914,0.04945265307,0.03586203232,-3.234872715,0.9928827165,1.010153003,0.8705545306,1.000856698,1.184985751,0.001748251748,0.04020979021,1.001992424,1.028514307
