step,control_raw,control_ma5,control_ma10,control_fixed,st_02_raw,st_02_ma5,st_02_ma10,st_02_fixed,prism_raw,prism_ma5,prism_ma10,prism_fixed,action_old_raw,action_old_ma5,action_old_ma10,action_old_fixed,action_fix_raw,action_fix_ma5,action_fix_ma10,action_fix_fixed,st_half_raw,st_half_ma5,st_half_ma10,st_half_fixed
75,0.83203125,0.91796875,0.936328125,0.96875,,,,,,,,,,,,,0.8984375,0.9296875,0.938671875,0.96875,,,,
76,0.87109375,0.90234375,0.9296875,,,,,,,,,,,,,,0.8828125,0.92109375,0.934375,,,,,
77,0.8671875,0.8875,0.923046875,,,,,,,,,,,,,,0.99609375,0.9390625,0.937109375,,,,,
78,0.93359375,0.88671875,0.91875,,,,,,,,,,,,,,0.921875,0.928125,0.93203125,,,,,
79,0.89453125,0.8796875,0.910546875,,,,,,,,,,,,,,0.87109375,0.9140625,0.927734375,,,,,
80,0.92578125,0.8984375,0.908203125,0.9375,,,,,,,,,,,,,,,,,,,,
81,0.92578125,0.909375,0.905859375,,,,,,,,,,,,,,,,,,,,,
82,0.94921875,0.92578125,0.906640625,,,,,,,,,,,,,,,,,,,,,
83,0.94921875,0.92890625,0.9078125,,,,,,,,,,,,,,,,,,,,,
84,0.96484375,0.94296875,0.911328125,,,,,,,,,,,,,,,,,,,,,
85,0.9765625,0.953125,0.92578125,0.96875,,,,,,,,,,,,,,,,,,,,
86,0.94921875,0.9578125,0.93359375,,,,,,,,,,,,,,,,,,,,,
87,0.9375,0.95546875,0.940625,,,,,,,,,,,,,,,,,,,,,
88,0.96484375,0.95859375,0.94375,,,,,,,,,,,,,,,,,,,,,
89,0.9296875,0.9515625,0.947265625,,,,,,,,,,,,,,,,,,,,,
90,0.96484375,0.94921875,0.951171875,0.9375,,,,,,,,,,,,,,,,,,,,
91,0.94140625,0.94765625,0.952734375,,,,,,,,,,,,,,,,,,,,,
92,0.953125,0.95078125,0.953125,,,,,,,,,,,,,,,,,,,,,
93,0.97265625,0.95234375,0.95546875,,,,,,,,,,,,,,,,,,,,,
94,0.953125,0.95703125,0.954296875,,,,,,,,,,,,,,,,,,,,,
95,0.92578125,0.94921875,0.94921875,0.96875,,,,,,,,,,,,,,,,,,,,
96,0.9296875,0.946875,0.947265625,,,,,,,,,,,,,,,,,,,,,
