run,step,success_pct,success_roll5_pct,approx_kl,clip_pct,grad_norm,step_min
"DVAC v3 R-only [0,2]",30,92.578125,91.953125,0.028,18.7,38.276,25.02
"DVAC v3 R-only [0,2]",31,96.484375,92.578125,0.06,16.8,30.828,24.245
"DVAC v3 R-only [0,2]",32,91.40625,92.65625,0.063,16.1,39.827,24.654999999999998
"DVAC v3 R-only [0,2]",33,90.234375,92.578125,0.038,13.600000000000001,44.902,24.875
"DVAC v3 R-only [0,2]",34,90.234375,92.1875,0.024,18.6,38.718,24.42
"DVAC v3 R-only [0,2]",35,94.53125,92.578125,0.058,12.0,34.618,24.421666666666667
"DVAC v3 R-only [0,2]",36,95.703125,92.421875,0.06,17.5,33.938,24.513333333333332
"DVAC v3 R-only [0,2]",37,89.453125,92.03125,0.025,18.7,32.094,24.683333333333334
"DVAC v3 R-only [0,2]",38,94.140625,92.8125,0.087,21.4,35.938,24.658333333333335
"DVAC v3 R-only [0,2]",39,92.96875,93.359375,0.067,16.0,38.449,24.56833333333333
"DVAC v3 R-only [0,2]",40,92.1875,92.890625,0.045,13.900000000000002,43.349,25.113333333333333
"DVAC v3 R-only [0,2]",41,92.1875,92.1875,0.03,15.2,34.566,24.503333333333334
"DVAC v3 R-only [0,2]",42,93.359375,92.96875,0.073,16.7,44.244,24.73
"DVAC v3 R-only [0,2]",43,94.53125,93.046875,0.0067,17.0,26.796,24.4
"DVAC v3 R-only [0,2]",44,85.9375,91.640625,0.029,15.2,40.812,24.77
"DVAC v3 R-only [0,2]",45,88.671875,90.9375,0.017,12.5,48.541,24.631666666666668
"DVAC v3 R-only [0,2]",46,92.578125,91.015625,0.029,13.5,45.356,24.545
"DVAC v3 R-only [0,2]",47,90.625,90.46875,0.048,16.1,38.708,24.654999999999998
"DVAC v3 R-only [0,2]",48,84.375,88.4375,0.051,16.5,41.155,25.071666666666665
"DVAC v3 R-only [0,2]",49,92.578125,89.765625,0.053,13.700000000000001,38.833,24.295
