h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_p05,residual_median,residual_p95,weight_p05,weight_mean,weight_p50,weight_p95,at_min_fraction,at_max_fraction
36,-4.019023895263672,0.4621177315711975,-3.89085104879382,-1.1320769786834717,0.2773597836494446,2.0,0.43396151065826416,1.1319371415202728,1.1386798620224,2.0,0.010676156583629894,0.07473309608540925
37,-4.015109539031982,0.4705726206302643,-3.88888993315276,-1.167083740234375,0.26822537183761597,2.0,0.4164581298828125,1.1672609955390578,1.1341127157211304,2.0,0.0,0.0711743772241993
38,-4.000470161437988,0.47964218258857727,-3.8862159434080032,-1.1684893369674683,0.23820723593235016,2.0,0.41575533151626587,1.1408649865418568,1.1191036701202393,2.0,0.0071174377224199285,0.05338078291814947
39,-3.984835624694824,0.48795849084854126,-3.8563542246722893,-1.1706253290176392,0.2633039355278015,2.0,0.4146873354911804,1.1436715616025959,1.1316519975662231,2.0,0.0071174377224199285,0.05693950177935943
40,-3.9688429832458496,0.4784419536590576,-3.860354248011689,-1.0544233322143555,0.2267543524503708,1.928425908088684,0.47278833389282227,1.1337631192071582,1.1133772134780884,1.9642128944396973,0.0,0.03914590747330961
41,-3.9574005603790283,0.47278785705566406,-3.8258683687489774,-1.2063003778457642,0.2782055139541626,1.8064957857131958,0.3968498110771179,1.1248186116116752,1.1391026973724365,1.9032478332519531,0.0035587188612099642,0.03202846975088968
42,-3.9640846252441406,0.477719247341156,-3.8412101092875486,-1.1882648468017578,0.25721070170402527,1.8527017831802368,0.4058675765991211,1.135980888829961,1.1286053657531738,1.9263508319854736,0.0071174377224199285,0.03914590747330961
43,-3.9532418251037598,0.4746759831905365,-3.78400226932609,-1.1736574172973633,0.3565369248390198,1.9766613245010376,0.41317129135131836,1.1542089513612388,1.1782684326171875,1.988330602645874,0.0,0.042704626334519574
44,-3.9296207427978516,0.46641480922698975,-3.706632884088757,-1.1808409690856934,0.47808921337127686,2.0,0.4095795154571533,1.2038983923260427,1.2390446662902832,2.0,0.014234875444839857,0.06761565836298933
45,-3.923222064971924,0.4950878322124481,-3.704321894897565,-1.196930170059204,0.4421441853046417,2.0,0.40153491497039795,1.2247204364830913,1.2210720777511597,2.0,0.0035587188612099642,0.08540925266903915
46,-3.9007930755615234,0.5097854733467102,-3.655133234233124,-1.1720885038375854,0.48188865184783936,2.0,0.4139557480812073,1.2397016314425078,1.2409443855285645,2.0,0.0,0.09252669039145907
47,-3.8672103881835938,0.5664767026901245,-3.617407046254524,-1.136209487915039,0.44097718596458435,2.0,0.43189525604248047,1.2137605715476745,1.2204885482788086,2.0,0.0035587188612099642,0.099644128113879
48,-3.8252451419830322,0.5812293291091919,-3.555902150699712,-1.1197704076766968,0.46340212225914,2.0,0.4401147961616516,1.2309762617022966,1.2317010164260864,2.0,0.0,0.1103202846975089
49,-3.7765824794769287,0.6257585287094116,-3.457690967175127,-1.064403772354126,0.5096079707145691,2.0,0.467798113822937,1.2483860411253689,1.254804015159607,2.0,0.0,0.12455516014234876
