timestamp,driver_alive,host_mem_available_kib,cgroup_memory_current_bytes,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-22T19:17:40+00:00,1,1144748768,967762276352,52582,3,52448,0,53674,0,50803,0
2026-08-22T19:18:41+00:00,1,1129934444,982784020480,57096,0,57692,0,58204,0,57468,0
2026-08-22T19:19:41+00:00,1,1141253104,990204076032,52945,0,53014,0,53270,0,52534,0
2026-08-22T19:20:41+00:00,1,1118004028,1014217850880,55321,0,55390,0,55646,0,54816,2
2026-08-22T19:21:41+00:00,1,1087572664,1045470990336,58293,0,58362,0,58618,0,57490,0
2026-08-22T19:22:41+00:00,1,1057103892,1076644995072,62002,3,61630,3,62142,0,60258,0
2026-08-22T19:23:41+00:00,1,1049650276,1084045873152,68414,0,67970,0,68482,0,68258,0
2026-08-22T19:24:42+00:00,1,1048970796,1084797935616,68414,0,64708,0,61653,0,68258,0
2026-08-22T19:25:42+00:00,1,1050334020,1083151560704,60392,2,60448,0,61352,0,60140,1
2026-08-22T19:26:42+00:00,1,1047474956,1086134284288,63862,1,63514,0,64620,0,63208,34
2026-08-22T19:27:42+00:00,1,1031202672,1102780645376,66928,0,66686,7,67888,0,65880,1
2026-08-22T19:28:42+00:00,1,1020331640,1114029731840,68926,0,68738,81,68994,0,68770,0
2026-08-22T19:29:43+00:00,1,1018952164,1115354120192,68926,0,68738,0,62166,0,68770,99
2026-08-22T19:30:43+00:00,1,1016807788,1117642960896,60904,0,60918,0,61864,3,59466,0
2026-08-22T19:31:43+00:00,1,1000148620,1134878605312,64078,4,63984,0,65132,0,62234,0
2026-08-22T19:32:43+00:00,1,977033012,1158565462016,67602,1,67468,0,68614,1,65110,1
2026-08-22T19:33:43+00:00,1,961520036,1174403911680,70206,0,70531,0,70018,97,68296,0
2026-08-22T19:34:44+00:00,1,958245836,1177651625984,70206,0,70531,43,68538,0,69794,0
2026-08-22T19:35:44+00:00,1,958783032,1176992919552,61886,2,61064,3,61996,1,69794,0
2026-08-22T19:36:44+00:00,1,958948724,1176785424384,65060,2,64034,1,64968,1,61474,0
2026-08-22T19:37:44+00:00,1,952842572,1183113805824,68126,1,67302,0,68140,0,64446,0
2026-08-22T19:38:45+00:00,1,947412584,1188510367744,71231,0,71299,84,71043,43,67322,4
