unix_time,cgroup_current_bytes,cgroup_high_bytes,cgroup_max_bytes,event_high,event_max,event_oom,event_oom_kill,anon_bytes,file_bytes,shmem_bytes,inactive_file_bytes,active_file_bytes,slab_reclaimable_bytes,pgscan,pgsteal,refault_file,psi_some_avg10,psi_full_avg10,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1787574441,56629178368,253403070464,257698037760,0,0,0,0,45653798912,10279804928,296697856,1054326784,8932880384,65736632,0,0,7842,0.00,0.00,19519,0,19602,73,25093128,1368,1424,1522416,2938896,29557232,8
1787574443,56629600256,253403070464,257698037760,0,0,0,0,45653819392,10279804928,296697856,1054326784,8932880384,65732120,0,0,7842,0.00,0.00,19519,99,19602,65,25093204,1380,1452,1522344,2938784,29557164,8
1787574445,56632311808,253403070464,257698037760,0,0,0,0,45658030080,10279804928,296697856,1054326784,8932880384,65734128,0,0,7842,0.00,0.00,19519,100,19602,0,25093240,1428,1376,1522360,2938960,29557364,8
1787574448,56634109952,253403070464,257698037760,0,0,0,0,45657997312,10279804928,296697856,1054326784,8932880384,65734128,0,0,7842,0.00,0.00,19519,0,19602,72,25093176,1372,1360,1522388,2938852,29557148,8
1787574450,56635109376,253403070464,257698037760,0,0,0,0,45659308032,10279825408,296697856,1054326784,8932880384,65731496,0,0,7842,0.00,0.00,19519,0,19602,15,25093152,1348,1340,1522364,2940356,29558560,8
1787574452,56060985344,253403070464,257698037760,0,0,0,0,45087113216,10279849984,296697856,1054347264,8932880384,65728280,0,0,7842,0.00,0.00,19519,100,16366,0,24534576,1428,1424,1522308,2940028,28999764,8
1787574454,55711293440,253403070464,257698037760,0,0,0,0,44736774144,10280013824,296697856,1054441472,8932880384,65723216,0,0,7842,0.00,0.00,17307,100,16366,0,24192508,1324,1428,1522396,2939840,28657496,8
1787574457,55511109632,253403070464,257698037760,0,0,0,0,44536184832,10280169472,296697856,1054543872,8932880384,65731968,0,0,7842,0.00,0.00,15635,0,15718,0,23993748,1340,1340,1522344,2939704,28458476,8
1787574459,55510646784,253403070464,257698037760,0,0,0,0,44535750656,10280173568,296697856,1054572544,8932880384,65734096,0,0,7842,0.00,0.00,15635,0,15718,0,23993752,1344,1360,1522296,2939816,28458568,8
1787574461,55510069248,253403070464,257698037760,0,0,0,0,44535312384,10280173568,296697856,1054605312,8932880384,65730848,0,0,7842,0.00,0.00,15635,0,15718,0,23993780,1328,1372,1522316,2939764,28458560,8
1787574463,56368123904,253403070464,257698037760,0,0,0,0,45391777792,10280173568,296697856,1054617600,8932880384,65729280,0,0,7842,0.00,0.00,15635,0,15718,0,24834032,1388,1336,1522396,2939672,29298824,8
1787574466,55577935872,253403070464,257698037760,0,0,0,0,44603064320,10280173568,296697856,1054629888,8932880384,65725568,0,0,7842,0.00,0.00,15837,5,15920,4,23993792,1420,1352,1522388,2940012,28458964,8
1787574468,55522856960,253403070464,257698037760,0,0,0,0,44551020544,10280173568,296697856,1054687232,8932880384,65727392,0,0,7842,0.00,0.00,16187,1,16222,40,24009108,1348,1424,1522384,2940140,28474404,8
1787574470,55667445760,253403070464,257698037760,0,0,0,0,44717285376,10280177664,296697856,1054687232,8932880384,65728168,0,0,7842,0.00,0.00,16187,0,16270,0,24313192,1376,1372,1522384,2939688,28778012,8
1787574473,55940964352,253403070464,257698037760,0,0,0,0,44965621760,10280177664,296697856,1054691328,8932880384,65723848,0,0,7842,0.00,0.00,16901,0,16984,0,24414696,1388,1392,1522360,2939404,28879240,8
1787574475,56949702656,253403070464,257698037760,0,0,0,0,45971902464,10280177664,296697856,1054691328,8932880384,65733648,0,0,7842,0.00,0.00,16997,0,17080,0,25430772,1428,1348,1522392,2939380,29895320,8
1787574477,56708034560,253403070464,257698037760,0,0,0,0,45731434496,10280177664,296697856,1054691328,8932880384,65726416,0,0,7842,0.00,0.00,17455,6,17538,2,25162028,1360,1368,1522388,2939348,29626492,8
1787574480,56879812608,253403070464,257698037760,0,0,0,0,45901639680,10280177664,296697856,1054691328,8932880384,65727488,0,0,7842,0.00,0.00,17781,89,17888,88,25328308,1372,1368,1522340,2940016,29793404,8
1787574482,57386274816,253403070464,257698037760,0,0,0,0,46407192576,10280181760,296697856,1054695424,8932880384,65724424,0,0,7842,0.00,0.00,17805,0,17888,0,25821528,1428,1420,1522332,2939404,30286112,8
1787574484,57973776384,253403070464,257698037760,0,0,0,0,46994513920,10280181760,296697856,1054703616,8932880384,65727296,0,0,7842,0.00,0.00,18263,0,18602,3,26465760,1424,1380,1522420,2939492,30930476,8
1787574486,58167816192,253403070464,257698037760,0,0,0,0,47188606976,10280181760,296697856,1054703616,8932880384,65730128,0,0,7842,0.00,0.00,19519,67,19602,0,26584732,1344,1372,1522328,2940032,31049808,8
1787574489,58167336960,253403070464,257698037760,0,0,0,0,47188418560,10280185856,296697856,1054703616,8932880384,65724016,0,0,7842,0.00,0.00,19519,24,19602,96,26584752,1340,1340,1522308,2939824,31049564,8
1787574491,58158772224,253403070464,257698037760,0,0,0,0,47181266944,10280185856,296697856,1054707712,8932880384,65723208,0,0,7842,0.00,0.00,19519,96,19602,0,26584728,1368,1372,1522344,2939856,31049668,8
1787574493,58158411776,253403070464,257698037760,0,0,0,0,47181463552,10280185856,296697856,1054707712,8932880384,65716736,0,0,7842,0.00,0.00,19519,100,19602,56,26584704,1388,1416,1522348,2940224,31050080,8
1787574496,58160001024,253403070464,257698037760,0,0,0,0,47182397440,10280185856,296697856,1054707712,8932880384,65723816,0,0,7842,0.00,0.00,19519,0,19602,0,26584712,1396,1420,1522388,2941156,31051072,8
1787574498,58161270784,253403070464,257698037760,0,0,0,0,47182168064,10280185856,296697856,1054707712,8932880384,65725152,0,0,7842,0.00,0.00,19519,87,19602,9,26584788,1428,1348,1522384,2940528,31050476,8
1787574500,58160107520,253403070464,257698037760,0,0,0,0,47181901824,10280185856,296697856,1054707712,8932880384,65721432,0,0,7842,0.00,0.00,19519,6,19602,0,26584760,1412,1364,1522328,2940432,31050296,8
1787574502,58160513024,253403070464,257698037760,0,0,0,0,47182299136,10280185856,296697856,1054707712,8932880384,65722416,0,0,7842,0.00,0.00,19519,99,19602,8,26584692,1364,1396,1522388,2940592,31050432,8
1787574505,58161311744,253403070464,257698037760,0,0,0,0,47182176256,10280185856,296697856,1054707712,8932880384,65722480,0,0,7842,0.00,0.00,19519,0,19602,100,26584692,1364,1448,1522416,2940216,31050136,8
1787574507,58161987584,253403070464,257698037760,0,0,0,0,47182258176,10280185856,296697856,1054707712,8932880384,65725864,0,0,7842,0.00,0.00,19519,99,19602,100,26584812,1428,1344,1522416,2940136,31050136,8
1787574509,58162810880,253403070464,257698037760,0,0,0,0,47184670720,10280210432,296697856,1054732288,8932880384,65733984,0,0,7842,0.00,0.00,19519,100,19602,0,26584760,1328,1396,1522364,2939876,31049724,8
1787574512,58165436416,253403070464,257698037760,0,0,0,0,47185637376,10280210432,296697856,1054732288,8932880384,65726496,0,0,7842,0.00,0.00,19519,0,19602,59,26584760,1384,1388,1522396,2940648,31050576,8
1787574514,58164903936,253403070464,257698037760,0,0,0,0,47185215488,10280394752,296697856,1054818304,8932880384,65724968,0,0,7842,0.00,0.00,19519,0,19602,100,26584796,1380,1416,1522324,2940584,31050500,8
1787574516,58167312384,253403070464,257698037760,0,0,0,0,47184932864,10280517632,296697856,1054859264,8932880384,65726488,0,0,7842,0.00,0.00,19519,72,19602,100,26584756,1388,1368,1522340,2940080,31049932,8
1787574518,58164764672,253403070464,257698037760,0,0,0,0,47184695296,10280517632,296697856,1054920704,8932880384,65728368,0,0,7842,0.00,0.00,19519,0,19602,0,26584784,1420,1332,1522296,2940272,31050104,8
1787574521,58165653504,253403070464,257698037760,0,0,0,0,47184691200,10280517632,296697856,1054969856,8932880384,65737472,0,0,7842,0.00,0.00,19519,100,19602,100,26584740,1452,1384,1522396,2940640,31050612,8
1787574523,58167205888,253403070464,257698037760,0,0,0,0,47185047552,10280517632,296697856,1054978048,8932880384,65726128,0,0,7842,0.00,0.00,19519,100,19602,100,26584752,1376,1376,1522384,2940936,31050824,8
1787574525,58166439936,253403070464,257698037760,0,0,0,0,47185911808,10280517632,296697856,1054978048,8932880384,65734152,0,0,7842,0.00,0.00,19519,100,19602,0,26584732,1372,1396,1522348,2941620,31051468,8
1787574528,58164355072,253403070464,257698037760,0,0,0,0,47185756160,10280521728,296697856,1055014912,8932880384,65726856,0,0,7842,0.00,0.00,19519,0,19602,0,26584688,1388,1328,1522312,2941452,31051168,8
1787574530,58165547008,253403070464,257698037760,0,0,0,0,47185395712,10280525824,296697856,1055019008,8932880384,65727264,0,0,7842,0.00,0.00,19519,90,19602,30,26584712,1364,1372,1522356,2940836,31050640,8
1787574532,58164301824,253403070464,257698037760,0,0,0,0,47185174528,10280525824,296697856,1055027200,8932880384,65733912,0,0,7842,0.00,0.00,19519,93,19602,0,26584796,1372,1384,1522336,2940632,31050520,8
1787574534,58163650560,253403070464,257698037760,0,0,0,0,47185567744,10280525824,296697856,1055039488,8932880384,65730672,0,0,7842,0.00,0.00,19519,99,19602,21,26584732,1432,1428,1522388,2940892,31050872,8
