h,weight_p05,weight_p50,weight_mean,weight_p95,clipped_z_p05,clipped_z_p50,clipped_z_mean,clipped_z_p95,log_v_l3_p05,log_v_l3_p50,log_v_l3_mean,log_v_l3_p95,weight_below_one_fraction,weight_above_one_fraction,weight_at_zero_fraction,weight_at_two_fraction
15,0.3582649677991867,1.0489915013313293,1.0497331607621163,1.8246351182460785,-1.2834700644016266,0.09798296168446541,0.09946632203264016,1.6492701470851898,-4.558993902978792,-3.909205249380187,-3.8935306627825144,-3.179532500627913,0.46484375,0.53515625,0.0,0.03125
16,0.3796963095664978,1.0650254487991333,1.0670326293911785,1.976595938205719,-1.2406073808670044,0.1300509050488472,0.1340652619037428,1.9531919658184052,-4.538832786422831,-3.894121599410344,-3.8734968746882252,-3.0277472733543944,0.45703125,0.54296875,0.00390625,0.05078125
17,0.37881940603256226,1.0110588669776917,1.0590857863426208,1.9813362061977386,-1.2423611879348755,0.022117656655609608,0.11817157089535613,1.9626724123954773,-4.539657704754553,-3.944889834870185,-3.879850958856209,-3.023244824343347,0.4921875,0.5078125,0.00390625,0.05078125
18,0.39127808809280396,1.0042943954467773,1.0699324957095087,2.0,-1.217443823814392,0.008588808123022318,0.13986499451493728,2.0,-4.527937417660415,-3.9512532775087106,-3.8615973751296826,-2.8665772383717694,0.5,0.5,0.0,0.078125
19,0.40036430954933167,1.0239525437355042,1.0865717774722725,2.0,-1.1992713809013367,0.04790511541068554,0.17314355387497926,2.0,-4.519389578550637,-3.932760171947744,-3.8426552943754038,-2.8514308655663108,0.48828125,0.51171875,0.0,0.0859375
20,0.30915626883506775,1.040068507194519,1.0961055147927254,2.0,-1.3816874623298645,0.08013702929019928,0.1922110296000028,2.0,-4.605192001534461,-3.917599532646995,-3.831446997509391,-2.705586728738366,0.4765625,0.5234375,0.00390625,0.078125
21,0.31834398210048676,1.0557490587234497,1.081066339276731,2.0,-1.3633120357990265,0.11149812862277031,0.16213267938587705,2.0,-4.596549097029876,-3.902848233206663,-3.8423280376246303,-2.8379730640166168,0.47265625,0.52734375,0.00390625,0.0859375
22,0.36958014965057373,1.0002121329307556,1.0666513333562762,2.0,-1.2608397006988525,0.00042425794526934624,0.13330267058699974,2.0,-4.548349482664061,-3.9550936667371683,-3.857209137743812,-2.8054630592035847,0.5,0.5,0.00390625,0.078125
23,0.3171510249376297,1.0296249985694885,1.0683960949536413,2.0,-1.3656979501247406,0.05925007537007332,0.13679219062032644,2.0,-4.5976713476780295,-3.9274239322854885,-3.852847211605862,-2.7200516529263608,0.46484375,0.53515625,0.00390625,0.0859375
24,0.29248832166194916,1.016093909740448,1.0542708502616733,2.0,-1.4150233566761017,0.03218781761825085,0.10854169653612189,2.0,-4.6208719652071535,-3.940153136331575,-3.868099519227094,-2.8096701221156493,0.47265625,0.52734375,0.0078125,0.06640625
