policy,task,outcome,metric,axis,bin_index,x_left,x_right,x_center,n_at_risk,mean,sd,episodes_total,main_L
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,13,0.65,0.7,0.675,5,-7.623239691216168,0.8108717173280334,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,14,0.7,0.75,0.725,5,-7.834959354833833,0.7462087255876665,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,15,0.75,0.8,0.775,5,-8.01441115504077,0.41964198292803545,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,16,0.8,0.85,0.825,5,-7.890602939017503,0.5189006785596267,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,17,0.85,0.9,0.875,5,-7.9074176835007295,0.5503596846585008,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,18,0.9,0.95,0.925,5,-7.8523494250875885,0.47777736092517337,5,5
fastwam,move_stapler_pad,failure,raw_y,normalized_progress,19,0.95,1.0,0.975,5,-7.05204032537723,1.0943798039897783,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,0,0.0,24.0,12.0,5,-8.369269438697305,0.1746659676238918,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,1,24.0,48.0,36.0,5,-8.687065552291443,0.08088323690510277,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,2,48.0,72.0,60.0,5,-8.443982466680353,0.14302446168116947,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,3,72.0,96.0,84.0,5,-8.40725313553379,0.12090198935247906,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,4,96.0,120.0,108.0,5,-7.966869052170568,0.0926576333076992,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,5,120.0,144.0,132.0,5,-8.232266146110778,0.049070194617875415,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,6,144.0,168.0,156.0,5,-8.056876138404622,0.5618357793721119,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,7,168.0,192.0,180.0,5,-7.434310759868086,1.0589289484323963,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,8,192.0,216.0,204.0,5,-7.572684075893484,1.4184751096919561,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,9,216.0,240.0,228.0,5,-7.6168377980575315,0.7079543937889741,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,10,240.0,264.0,252.0,5,-8.098582010422916,0.3385015154381865,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,11,264.0,288.0,276.0,5,-7.451252950634382,1.2587659153161883,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,12,288.0,312.0,300.0,5,-8.096172629955266,0.4347222768818819,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,13,312.0,336.0,324.0,5,-7.924899952417183,0.3765925516205374,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,14,336.0,360.0,348.0,5,-7.989962808121324,0.4574156888593969,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,15,360.0,384.0,372.0,5,-7.735909332356192,0.6405304838061755,5,5
fastwam,move_stapler_pad,failure,raw_y,absolute_slot,16,384.0,408.0,396.0,5,-7.026623189546737,1.5853976326881527,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,0,0.0,0.05,0.025,5,0.5767617134701689,0.10902447787076934,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,1,0.05,0.1,0.075,5,0.8461837028555784,0.18479422319568792,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,2,0.1,0.15,0.125,5,0.7544456004256717,0.11096834584864963,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,3,0.15,0.2,0.175,5,0.5979379429294557,0.12931610710892374,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,4,0.2,0.25,0.225,5,0.5404573965728133,0.11973759531856497,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,5,0.25,0.3,0.275,5,0.729096656277347,0.17481512262286197,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,6,0.3,0.35,0.325,5,0.6315323965600903,0.3215501045655366,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,7,0.35,0.4,0.375,5,1.0778829780930361,0.8157941967720415,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,8,0.4,0.45,0.425,5,1.1458550635472733,0.32031995910181943,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,9,0.45,0.5,0.475,5,1.7720820052328652,1.446365674843978,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,10,0.5,0.55,0.525,5,1.9487391358300605,2.837175393635004,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,11,0.55,0.6,0.575,5,1.7333620150742177,1.1590574888158154,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,12,0.6,0.65,0.625,5,0.7701232864262794,0.2700451734,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,13,0.65,0.7,0.675,5,1.7044414429777883,1.6674235600863199,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,14,0.7,0.75,0.725,5,1.2887357138176374,0.8962733270147333,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,15,0.75,0.8,0.775,5,0.8855771269357418,0.4114692194064047,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,16,0.8,0.85,0.825,5,0.9942028607560479,0.5331907209032483,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,17,0.85,0.9,0.875,5,1.0304256744442093,0.6814794341037785,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,18,0.9,0.95,0.925,5,1.2599656063566402,0.7335856830116,5,5
fastwam,move_stapler_pad,failure,abs_R,normalized_progress,19,0.95,1.0,0.975,5,3.0115291244410036,2.6029559539758003,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,0,0.0,24.0,12.0,5,0.5670610669202784,0.11526992428182424,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,1,24.0,48.0,36.0,5,0.8606934288762584,0.1483520132990882,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,2,48.0,72.0,60.0,5,0.6766434590979571,0.1245793963340577,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,3,72.0,96.0,84.0,5,0.5470145493933003,0.11021792375032495,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,4,96.0,120.0,108.0,5,0.7193233394880686,0.16874241153760833,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,5,120.0,144.0,132.0,5,0.6096318145878026,0.2846091994874859,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,6,144.0,168.0,156.0,5,1.0496593417064548,0.7795846426449357,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,7,168.0,192.0,180.0,5,1.9162131495866022,1.5023798610361125,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,8,192.0,216.0,204.0,5,1.7644070347481382,2.5142073560973084,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,9,216.0,240.0,228.0,5,1.5846333213189552,0.922296763170579,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,10,240.0,264.0,252.0,5,0.8327923385401761,0.33838562095294217,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,11,264.0,288.0,276.0,5,1.9390016309759848,2.1404723157255443,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,12,288.0,312.0,300.0,5,0.8280443724915323,0.40802471945658286,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,13,312.0,336.0,324.0,5,0.9936247084771674,0.388812183623742,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,14,336.0,360.0,348.0,5,0.9677920373132267,0.5754338046435873,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,15,360.0,384.0,372.0,5,1.3521855382217818,0.8759781625051856,5,5
fastwam,move_stapler_pad,failure,abs_R,absolute_slot,16,384.0,408.0,396.0,5,3.3110901061643814,3.503192569793105,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,0,0.0,0.05,0.025,5,-0.2459768821934996,0.31270396318514604,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,1,0.05,0.1,0.075,5,-0.6063027583646975,0.20384486449753936,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,2,0.1,0.15,0.125,5,-0.5092130746776091,0.23606621586361654,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,3,0.15,0.2,0.175,5,-0.22889823692065456,0.19747232069791565,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,4,0.2,0.25,0.225,5,0.1340760621162646,0.1858996106668767,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,5,0.25,0.3,0.275,5,0.6527688426417665,0.17968978820585926,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,6,0.3,0.35,0.325,5,0.10891287122910527,0.1129426326715612,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,7,0.35,0.4,0.375,5,0.4170221648373674,0.9918010458571973,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,8,0.4,0.45,0.425,5,1.2431207187824351,1.1487488432835105,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,9,0.45,0.5,0.475,5,1.563786650273046,1.3504460623410104,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,10,0.5,0.55,0.525,5,1.308045365584197,1.8626456958844595,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,11,0.55,0.6,0.575,5,1.3573695600571445,1.5506561444087703,5,5
fastwam,move_stapler_pad,failure,S,normalized_progress,12,0.6,0.65,0.625,5,0.49824968575821504,0.6094942782083523,5,5
