unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,matched_rss_kib,compute_process_count
1785326059,1.03274e+12,245653815296,19176951808,224242348032,23285,84,23285,83,16900736,2
1785326060,1.03276e+12,245616685056,19144241152,224242348032,23285,100,23285,100,16901176,2
1785326061,1.03276e+12,245620850688,19144155136,224242352128,23285,83,23285,73,16901376,2
1785326063,1.03273e+12,245661958144,19186761728,224242356224,23285,100,23285,100,16901576,2
1785326064,1.03278e+12,245613875200,19136593920,224242364416,23285,74,23285,70,16901180,2
1785326065,1.03273e+12,245609918464,19135135744,224242364416,23285,100,23285,100,16902172,2
1785326066,1.03274e+12,245617778688,19142598656,224242368512,23285,75,23285,73,16902352,2
1785326067,1.03272e+12,245659889664,19184885760,224242368512,23285,100,23285,99,16902384,2
1785326068,1.03273e+12,245648728064,19159183360,224242372608,23285,94,23285,94,16902088,2
1785326070,1.03275e+12,245632532480,19155857408,224242380800,23285,100,23285,100,16902492,2
1785326071,1.03274e+12,245632544768,19157250048,224242384896,23285,100,23285,93,16902508,2
1785326072,1.03272e+12,245647364096,19170615296,224242388992,23285,100,23285,100,16902036,2
1785326073,1.03271e+12,245665701888,19187740672,224242393088,23285,100,23285,98,16901736,2
1785326074,1.03275e+12,245637165056,19160133632,224242393088,23285,75,23285,77,16901824,2
1785326075,1.03274e+12,245633789952,19135721472,224242417664,23285,93,23285,93,16902252,2
1785326077,1.03273e+12,245648908288,19171512320,224242421760,23285,91,23285,80,16902428,2
1785326078,1.03274e+12,245638713344,19164139520,224242425856,23285,92,23285,93,16902428,2
1785326079,1.03277e+12,245606420480,19131072512,224242454528,23285,99,23285,99,16902436,2
1785326080,1.03273e+12,245636677632,19161210880,224242765824,23285,93,23285,93,16903284,2
1785326081,1.03276e+12,245613776896,19139072000,224242769920,23285,75,23285,99,16903576,2
1785326083,1.03275e+12,245611175936,19135385600,224242839552,23285,100,23285,100,16903700,2
1785326084,1.03273e+12,245650624512,19171966976,224242843648,23285,75,23285,75,16903828,2
1785326085,1.03274e+12,245656498176,19182628864,224242843648,23285,93,23285,93,16903856,2
1785326086,1.03277e+12,245645357056,19170394112,224242847744,23285,99,23285,90,16903660,2
1785326087,1.03279e+12,245608660992,19131215872,224242851840,23285,93,23285,93,16903660,2
1785326088,1.03275e+12,245642641408,19165356032,224242855936,23285,75,23285,99,16903472,2
1785326090,1.03274e+12,245652987904,19176734720,224242855936,23285,100,23285,100,16903428,2
1785326091,1.03273e+12,245668171776,19190554624,224242864128,23285,75,23285,75,16903508,2
1785326092,1.03277e+12,245632831488,19156267008,224242864128,23285,93,23285,93,16903504,2
1785326093,1.03279e+12,245611540480,19138043904,224242868224,23285,91,23285,83,16903504,2
1785326094,1.03277e+12,245636673536,19162460160,224242876416,23285,93,23285,94,16903496,2
1785326096,1.03275e+12,245640531968,19166060544,224242880512,23285,99,23285,99,16904252,2
1785326097,1.03276e+12,245631967232,19156123648,224242880512,23285,93,23285,93,16904624,2
1785326098,1.03276e+12,245629579264,19155111936,224242884608,23285,100,23285,99,16904624,2
1785326099,1.03275e+12,245647622144,19173310464,224242884608,23285,100,23285,94,16904488,2
1785326100,1.03275e+12,245640224768,19166023680,224242888704,23285,100,23285,100,16905088,2
1785326102,1.03276e+12,245614219264,19140960256,224242892800,23285,75,23285,82,16905012,2
1785326103,1.03276e+12,245600763904,19125350400,224242900992,23285,99,23285,99,16904576,2
1785326104,1.03275e+12,245607317504,19133689856,224242905088,23285,93,23285,94,16904704,2
1785326105,1.03272e+12,245644808192,19170426880,224242909184,23285,99,23285,99,16904704,2
1785326106,1.03273e+12,245631881216,19157385216,224242913280,23285,99,23285,94,16905088,2
1785326108,1.0327e+12,245668720640,19194531840,224242913280,23285,100,23285,100,16905036,2
