h,position_center_log_v,position_scale_log_v,current_log_v_median,residual_median,weight_mean,weight_p05,weight_p50,weight_p95,below_one_fraction,above_one_fraction,at_min_fraction,at_max_fraction
10,-3.997830390930176,0.3881244361400604,-4.018824577331543,-0.054091379046440125,0.9450585246086121,0.6594398617744446,0.9864771366119385,1.2000000476837158,0.5161290322580645,0.4838709677419355,0.007168458781362007,0.053763440860215055
11,-3.990306854248047,0.4089765250682831,-4.031680107116699,-0.10116290301084518,0.9403327703475952,0.6257944107055664,0.9747092723846436,1.196046233177185,0.5376344086021505,0.46236559139784944,0.014336917562724014,0.04659498207885305
12,-3.984280586242676,0.38905709981918335,-4.018348693847656,-0.0875658318400383,0.9336444735527039,0.5789391994476318,0.9781085252761841,1.2000000476837158,0.5376344086021505,0.46236559139784944,0.035842293906810034,0.06810035842293907
13,-3.9805593490600586,0.4183257222175598,-4.023777008056641,-0.10331102460622787,0.9495558738708496,0.6557348966598511,0.9741722345352173,1.1999903917312622,0.5448028673835126,0.4551971326164875,0.007168458781362007,0.05017921146953405
14,-3.9718024730682373,0.40214571356773376,-4.007136344909668,-0.08786335587501526,0.9291014075279236,0.5835882425308228,0.9780341386795044,1.2000000476837158,0.5555555555555556,0.4444444444444444,0.010752688172043012,0.06451612903225806
15,-3.9737610816955566,0.4053128957748413,-3.994748115539551,-0.05177983269095421,0.9446581602096558,0.6505609154701233,0.9870550632476807,1.1872919797897339,0.5232974910394266,0.4767025089605735,0.014336917562724014,0.03942652329749104
16,-3.996243953704834,0.40522557497024536,-4.044028282165527,-0.11792031675577164,0.9356672167778015,0.5762091875076294,0.9705199003219604,1.2000000476837158,0.5627240143369175,0.43727598566308246,0.02867383512544803,0.05734767025089606
17,-3.9947824478149414,0.3999854326248169,-4.0471296310424805,-0.1308727264404297,0.9423230886459351,0.6169531941413879,0.9672818183898926,1.2000000476837158,0.5412186379928315,0.45878136200716846,0.017921146953405017,0.053763440860215055
18,-4.004939079284668,0.3914945125579834,-4.032270431518555,-0.06981286406517029,0.9424926042556763,0.5990410447120667,0.9825468063354492,1.2000000476837158,0.5268817204301075,0.4731182795698925,0.03225806451612903,0.06451612903225806
19,-4.018465042114258,0.37951651215553284,-4.0604424476623535,-0.1106075868010521,0.9291902780532837,0.5022575259208679,0.9723480939865112,1.2000000476837158,0.5483870967741935,0.45161290322580644,0.05017921146953405,0.08602150537634409
20,-4.037915229797363,0.376225084066391,-4.023723602294922,0.03772110864520073,0.945711612701416,0.592189610004425,1.0037721395492554,1.2000000476837158,0.4874551971326165,0.5125448028673835,0.035842293906810034,0.07885304659498207
21,-4.048894882202148,0.3824058473110199,-4.028463840484619,0.05342764034867287,0.9467856287956238,0.5541176795959473,1.005342721939087,1.2000000476837158,0.4731182795698925,0.5268817204301075,0.035842293906810034,0.07526881720430108
22,-4.046739101409912,0.37029582262039185,-4.065745830535889,-0.051328498870134354,0.9383323788642883,0.5563775300979614,0.9871678948402405,1.2000000476837158,0.5197132616487455,0.48028673835125446,0.02867383512544803,0.08243727598566308
23,-4.051042556762695,0.364082008600235,-4.03700065612793,0.038567960262298584,0.9475460648536682,0.517735481262207,1.0038567781448364,1.2000000476837158,0.4731182795698925,0.5268817204301075,0.043010752688172046,0.08243727598566308
24,-4.04449462890625,0.37133026123046875,-4.045658588409424,-0.0031345668248832226,0.9515483975410461,0.5798999071121216,0.9992163777351379,1.2000000476837158,0.5017921146953405,0.4982078853046595,0.02867383512544803,0.07168458781362007
25,-4.039764404296875,0.37680089473724365,-4.028258323669434,0.030536234378814697,0.948515772819519,0.5634437203407288,1.0030536651611328,1.2000000476837158,0.48028673835125446,0.5197132616487455,0.04659498207885305,0.07526881720430108
26,-4.016463756561279,0.38115787506103516,-3.974764823913574,0.1094006821513176,0.9426953196525574,0.5,1.0109400749206543,1.2000000476837158,0.4731182795698925,0.5268817204301075,0.053763440860215055,0.06451612903225806
