selection,success,query_idx,action_slot_start,trajectory_id,reward_sum,done,log10_v_l3_c10_mean,log10_v_l3_h10_49_mean,v_l3_c10_peak_h,w_s0p5_min,w_s0p5_max,w_s2p0_min,w_s2p0_max,executed_reference_mse
failure_low,0,7,70,56248,0.0,0,-2.2605395317077637,-1.7656769752502441,9,0.4350718855857849,1.5114483833312988,0.0,2.5031023025512695,0.011858352459967136
failure_low,0,8,80,56249,0.0,0,-2.2386488914489746,-1.9523874521255493,9,0.3995363712310791,1.6182801723480225,0.0,2.7341132164001465,0.009499583393335342
failure_low,0,9,90,56250,0.0,0,-2.161759853363037,-1.7740334272384644,8,0.7042490243911743,1.4136042594909668,0.0,2.597982168197632,0.018404213711619377
failure_low,0,10,100,56251,0.0,0,-1.9245953559875488,-1.6443268060684204,8,0.45944762229919434,1.744431495666504,0.0,3.0468249320983887,0.01753639429807663
failure_low,0,11,110,56252,0.0,0,-2.0338335037231445,-1.9278360605239868,9,0.32061469554901123,1.6838899850845337,0.0,3.087796926498413,0.01456042006611824
failure_low,0,12,120,56253,0.0,0,-2.2005679607391357,-2.114550828933716,6,0.7617933750152588,1.4407436847686768,0.047173865139484406,2.7629754543304443,0.010654507204890251
failure_low,0,13,130,56254,0.0,0,-2.3993029594421387,-2.106977939605713,4,0.7052057981491089,1.622300624847412,0.0,3.4277853965759277,0.007290463894605637
failure_low,0,14,140,56255,0.0,0,-2.2523193359375,-2.1210179328918457,7,0.47959935665130615,1.4684228897094727,0.0,2.5593202114105225,0.007456253282725811
failure_low,0,15,150,56256,0.0,0,-2.332941770553589,-2.1441595554351807,7,0.661557674407959,1.5084692239761353,0.0,2.844377279281616,0.0075139980763196945
failure_low,0,16,160,56257,0.0,0,-2.220773458480835,-2.1543824672698975,5,0.2628512382507324,1.4659545421600342,0.0,2.396782159805298,0.005536999087780714
failure_low,0,17,170,56258,0.0,0,-2.3842501640319824,-2.119971990585327,1,0.672814667224884,1.5305838584899902,0.0,2.9869837760925293,0.0074486322700977325
