round,env/success_once,eval/success_once,time/step,time/generate_rollouts,time/actor_training,time/sync_weights,time/eval
126,0.6484375,,1261.12353515625,1235.25927734375,23.952068328857422,1.8972742557525635,
127,0.66796875,,1289.0723876953125,1258.57373046875,25.085466384887695,5.400710105895996,
128,0.6015625,,1345.7696533203125,1316.3433837890625,23.725614547729492,5.687991142272949,
129,0.71875,,1311.84130859375,1283.2962646484375,23.656614303588867,4.871306896209717,
130,0.71484375,0.71875,1574.49755859375,1223.2728271484375,24.657398223876953,5.574625492095947,289.70184326171875
131,0.71875,,1237.0267333984375,1209.555419921875,25.834558486938477,1.623763084411621,
132,0.69921875,,1272.369873046875,1239.385986328125,26.21900177001953,6.749642848968506,
133,0.66796875,,1278.917724609375,1251.1202392578125,22.67571449279785,5.108306884765625,
134,0.609375,,1260.9168701171875,1230.40185546875,25.409950256347656,5.08493185043335,
135,0.71875,0.6875,1590.048095703125,1280.0853271484375,22.414501190185547,5.270074367523193,282.26287841796875
136,0.65234375,,1301.090576171875,1277.0911865234375,22.138248443603516,1.8487110137939453,
137,0.6640625,,1297.769287109375,1268.5677490234375,24.13236427307129,5.055908203125,
138,0.6484375,,1280.4095458984375,1248.4114990234375,26.187463760375977,5.794281005859375,
139,0.6484375,,1319.55322265625,1289.0283203125,25.482868194580078,5.026272773742676,
140,0.6328125,0.59375,1582.62646484375,1255.2548828125,22.225574493408203,5.886231422424316,267.47393798828125
141,0.61328125,,1263.7335205078125,1240.131591796875,22.00975227355957,1.580841302871704,
142,0.609375,,1276.473876953125,1245.9395751953125,25.76031494140625,4.759016036987305,
143,0.59375,,1229.6473388671875,1201.1141357421875,22.879470825195312,5.641406059265137,
144,0.64453125,,1259.5789794921875,1232.1417236328125,22.51688003540039,4.906522750854492,
145,0.71875,0.5,1558.7481689453125,1263.8121337890625,22.91037368774414,5.34139347076416,266.671142578125
146,0.67578125,,1267.4630126953125,1241.8370361328125,23.732009887695312,1.8757829666137695,
147,0.640625,,1278.9864501953125,1248.0023193359375,26.125017166137695,4.841814041137695,
148,0.73046875,,1317.0419921875,1285.372314453125,25.53445816040039,6.122097969055176,
149,0.65625,,1271.7567138671875,1240.2965087890625,25.991535186767578,5.452022075653076,
150,0.640625,0.75,1568.5321044921875,1217.1688232421875,22.169029235839844,5.596712589263916,290.474609375
151,0.78125,,1317.673828125,1289.8096923828125,26.267908096313477,1.5790510177612305,
152,0.63671875,,1247.5704345703125,1216.126953125,25.57723045349121,5.849170684814453,
153,0.59765625,,1260.1046142578125,1231.736572265625,22.200124740600586,6.154911041259766,
154,0.61328125,,1347.3101806640625,1319.815673828125,22.746984481811523,4.732456207275391,
155,0.71875,0.65625,1629.8133544921875,1307.923828125,22.088083267211914,4.861753463745117,294.9255676269531
156,0.6796875,,1317.972412109375,1293.042236328125,23.046062469482422,1.8693368434906006,
157,0.67578125,,1301.3824462890625,1274.0496826171875,22.31382942199707,5.005789756774902,
158,0.61328125,,1318.2186279296875,1289.303955078125,24.085037231445312,4.813555717468262,
159,0.578125,,1282.2755126953125,1255.1336669921875,22.043643951416016,5.084257125854492,
160,0.6796875,0.53125,1620.1387939453125,1289.6375732421875,22.30785369873047,4.982171058654785,272.33953857421875
161,0.65625,,1297.7906494140625,1273.6580810546875,22.506969451904297,1.6119887828826904,
162,0.73828125,,1279.1500244140625,1251.9334716796875,22.185670852661133,5.018499374389648,
163,0.75,,1324.4468994140625,1297.308837890625,21.98915672302246,5.135629653930664,
164,0.65625,,1287.2427978515625,1260.1236572265625,22.055505752563477,5.049963474273682,
165,0.7109375,0.75,1580.482666015625,1251.5489501953125,22.423189163208008,5.322327136993408,301.1728210449219
166,0.69921875,,1375.050048828125,1350.9820556640625,22.22391128540039,1.8307099342346191,
167,0.62890625,,1320.6099853515625,1293.4124755859375,22.100788116455078,5.082271099090576,
168,0.66796875,,1263.43115234375,1235.9755859375,22.3209171295166,5.122165679931641,
